Trans name,Altamaha_PP48_000107-4_p08
hydrogenation/dehydrogenation,247
C_1H_2O1,228
CH4_O,194
C_1O1,181
H4,181
CH6O_1,177
C1,158
C_1H2O,157
H_2O1,153
C2O_1,152
H_2C1,144
H6,143
C_2H_2O2,140
H_4O1,132
C2H_2O_1,132
C2H4O_1,132
C_1H4O,128
methanol (-H2O),126
C2H2O_1,122
CH_4,120
hydroxylation (-H),119
condensation/dehydration,117
C_2O2,116
C1H4,110
C3H2O_2,106
H8,105
H_6O1,103
C2H6O_1,101
C3H4O_2,95
C_1H_4O2,92
C_2H2O2,92
CH6,88
C_1H_6O2,84
C_3H_2O3,77
H3O_1N1,77
C2H8O_1,76
H4O,75
C_1O2,73
C2H_2,72
NH_CH2,68
C_1H_2O2,67
C_1H_1N1,66
C3H4O_1,65
C2H2,64
H10,64
CHN_1O,63
C2,63
H_1O1N_1,63
C3H2O_1,61
C1H1N1O_1,60
C3O_1,59
CH_1N_1O,58
H_2C1O1,58
ethyl addition (-H2O),58
C_1H2O2,56
CH_4O,54
Formic Acid (-H2O),53
H1O1N_1,51
H3N_1O1,49
C_1H_5N_1O2,49
H5O_1N1,48
C3H6O_1,47
H_1O2N_1,46
H5O1N_1,45
C_1H4O2,44
C1H2O1,44
H_4O2,43
H_2O2,41
C8H12O1S2,40
C2H3N1O_2,38
C1H_1N1O_1,37
C1H3N1O_1,37
C2HN_1O,37
H2O2,36
N1H_3,35
C2H8,35
H3N1,35
CH5NO_1,34
H_1N1,34
secondary amine,33
C1H4O1,32
C3H2,32
H1O2N_1,31
O2,30
C2H4O1,28
C1H6O1,28
acetylation (-H2O),27
H4O2,26
C2H_2O,26
H5N1,26
C3H4,25
C3H6,24
C2O1,23
C4H4O_1,23
C1H4O2,22
C3,22
C2H6O1,21
CH_4O2,19
C13H14O2N4,19
C1H_2O2,18
CHN_1O2,18
C1H_1N1,18
C3H8,18
C_1O3,18
C3H4O1,18
H2O_1S1,17
C_1H1N_1S1,17
C2H5O_1N1,17
C4H2O_1,16
Carboxylation_CO2,16
CH6O2,16
C12H8N4O1,16
C4H6O_1,16
C4H6,15
O_1S1,15
C13H16N4O2,14
H16,14
C1H2O2,14
S1,13
C2H8O,13
C4H8O_1,13
C2H3NO_1,12
C4H8,12
O3,12
C1H4S1,12
C3H_1N1O_2,12
C2H7N1O_1,12
C4H4,11
C1H1N1,11
H_2O3,11
C1H5N1,11
CH3N,11
O2H6,11
C4,10
H_2S1,10
H2S,10
H_1N1O1,10
C5H8O_1,10
C3H2O1,10
C3H6O1,10
C5H7N_1,10
C5H6,10
C3O,9
