Sample,Mass_x,Mass_y,Dist,Dist_plus,Dist_minus,Trans_name
Altamaha_PP48_000107-4_p08,207.103109,207.066722,0.03638699999999062,0.036396999999990624,0.03637699999999062,CH4_O
Altamaha_PP48_000107-4_p08,209.082359,209.045981,0.03637799999998492,0.036387999999984925,0.03636799999998492,CH4_O
Altamaha_PP48_000107-4_p08,213.077312,213.040937,0.0363749999999925,0.0363849999999925,0.036364999999992494,CH4_O
Altamaha_PP48_000107-4_p08,213.113701,213.077312,0.03638899999998557,0.036398999999985575,0.03637899999998557,CH4_O
Altamaha_PP48_000107-4_p08,217.108607,217.072229,0.036378000000013344,0.03638800000001335,0.03636800000001334,CH4_O
Altamaha_PP48_000107-4_p08,227.056603,227.020225,0.03637799999998492,0.036387999999984925,0.03636799999998492,CH4_O
Altamaha_PP48_000107-4_p08,227.092988,227.056603,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
Altamaha_PP48_000107-4_p08,231.124308,231.087922,0.03638600000002157,0.03639600000002157,0.036376000000021565,CH4_O
Altamaha_PP48_000107-4_p08,235.098135,235.061751,0.03638400000002662,0.03639400000002662,0.036374000000026614,CH4_O
Altamaha_PP48_000107-4_p08,237.113793,237.077408,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
Altamaha_PP48_000107-4_p08,239.129456,239.093086,0.03637000000000512,0.036380000000005124,0.03636000000000512,CH4_O
Altamaha_PP48_000107-4_p08,241.14507,241.10869,0.036380000000008295,0.0363900000000083,0.03637000000000829,CH4_O
Altamaha_PP48_000107-4_p08,245.067292,245.030912,0.036380000000008295,0.0363900000000083,0.03637000000000829,CH4_O
Altamaha_PP48_000107-4_p08,245.103677,245.067292,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
Altamaha_PP48_000107-4_p08,249.077477,249.041103,0.03637399999999502,0.036383999999995024,0.03636399999999502,CH4_O
Altamaha_PP48_000107-4_p08,249.113849,249.077477,0.03637200000000007,0.036382000000000074,0.03636200000000007,CH4_O
Altamaha_PP48_000107-4_p08,252.088389,252.052019,0.03637000000000512,0.036380000000005124,0.03636000000000512,CH4_O
Altamaha_PP48_000107-4_p08,253.072422,253.03605,0.03637200000000007,0.036382000000000074,0.03636200000000007,CH4_O
Altamaha_PP48_000107-4_p08,259.119383,259.083004,0.03637900000001082,0.03638900000001082,0.036369000000010816,CH4_O
Altamaha_PP48_000107-4_p08,261.077525,261.04114,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
