Trans name,Altamaha_PP48_000107-3_p08
hydrogenation/dehydrogenation,223
C_1H_2O1,200
C_1O1,188
H4,185
C_1H2O,162
CH4_O,162
C1,161
CH6O_1,153
H_2C1,150
H6,144
H_2O1,139
C_2H_2O2,135
H_4O1,128
methanol (-H2O),127
C2O_1,125
hydroxylation (-H),124
C2H2O_1,123
CH_4,122
C_2O2,120
C2H4O_1,117
C1H4,114
C2H_2O_1,113
C2H6O_1,112
H8,108
C_1H4O,103
CH6,99
H_6O1,95
C3H2O_2,93
condensation/dehydration,92
C3H4O_2,91
C_1H_1N1,87
C_2H2O2,86
C_3H_2O3,85
NH_CH2,82
H4O,80
C_1H_6O2,79
H3O_1N1,78
C_1H_2O2,78
H_1O1N_1,76
CH_1N_1O,75
C2H8O_1,73
H3N_1O1,72
H1O1N_1,71
C_1H_4O2,70
C_1O2,67
C2,62
C2H2,61
C3O_1,60
CHN_1O,59
C_1H_5N_1O2,58
C2H_2,56
H10,55
CH_4O,54
H_1O2N_1,54
H_2C1O1,53
Formic Acid (-H2O),51
H5O_1N1,50
C_1H2O2,50
ethyl addition (-H2O),48
C3H6O_1,46
C8H12O1S2,45
C3H2O_1,45
O2,45
H_1N1,44
C3H4O_1,44
C1H_1N1O_1,43
N1H_3,42
C1H1N1O_1,40
H_2O2,39
H5O1N_1,39
secondary amine,39
C1H2O1,37
C1H4O1,37
C_1H4O2,36
C2H3N1O_2,36
C1H3N1O_1,35
H1O2N_1,35
H3N1,35
H_4O2,34
H2O2,34
CH5NO_1,33
C_1H1N_1S1,32
C2HN_1O,27
C2H8,27
C1H6O1,25
C4H4O_1,25
H5N1,24
C3H2,24
C3H4,24
CH_4O2,23
C4H6O_1,21
C1H_2O2,20
H4O2,20
C3,20
C3H6,20
C2O1,19
H_1N1O1,19
C2H4O1,19
C4H8O_1,19
C4H2O_1,19
C1H_1N1,18
CHN_1O2,18
O_1S1,17
O2H6,17
C2H_2O,17
C2H6O1,16
C3H_1N1O_2,16
C1H4O2,16
C3H8,16
H_2O3,16
C2H3NO_1,16
C1H4O_1S1,16
H_2N_2O2,15
C3O,15
acetylation (-H2O),15
C13H16N4O2,15
C13H14O2N4,14
H16,14
S1,13
H1N1O1,13
C4H2O,13
C12H8N4O1,13
C2H3N_1O2,12
C2H7N1O_1,12
C2H2O2,12
C_1O3,12
C2H5O_1N1,12
O3,12
C1H2O2,12
Carboxylation_CO2,11
C4H12O_1,11
CH3N,11
CH_4O3,10
C12H8S2,10
H2S,10
C3H2O1,10
C4H2,10
H2O_1S1,10
C3H4O1,9
C3H6O1,9
H_2S1,9
C4H6,8
H2O3,8
C2H3N,8
C3H5N1O_1,8
C2H8O,8
C5H7N_1,8
C4O,8
C3H8O1,8
glyoxylate (-H2O),7
C2H4O2,7
C3H2O2,7
H4O3,7
C4H4O1,7
C2H6O2,7
C1H5N1,7
CH3NO,7
C2H4O2S2,7
C3H7N1O_1,7
C4H4,6
adenosine (-H2O),6
H_1N1O2,6
C4H8,6
C4,6
O4,6
C2H2O3,6
C7H4O4S1,6
C7H8O1N4,6
C5H4,6
C2H6O3,6
C3H6O2,6
C9H13O2N3,5
H2N2O_1,5
C2H5N1O1,5
C3H3N1O_1,5
C1H2O3,5
guanosine (-H2O),5
C10H13N5,5
C3O2,5
C5H6,5
H2O2S1,5
C2H7N1,5
C4H10O,5
C4H6O2,5
C1H2O_1N2,5
C5H6O1,5
S2O32-,5
C2H6O3S2,5
C10H11O_1N5,4
C1H1N1,4
C2H2O2S_1,4
C4H6O1,4
acetotacetate_(_H2O)_C4H4O2,4
C4H5N1O_1,4
C5H2N4,4
C5H4O1N4,4
C4O2,4
C1H4O1S1,4
malonyl_group_(_H2O)_C3H2O3,4
C5H8,4
C2H4O3,4
C4H2O2,4
C10H10F1N3O5,4
C3H3N,4
H_3N_3O3,4
C5H8O_1,4
CH6O2,4
C5H8O1,4
C5H2O,4
C4H8O1,4
O2S1,4
C1H4O3,4
C10H11N5,4
C1H1O1N1,4
C2O3,3
Alanine,3
C2H4O3S2,3
C4H8O3,3
C1O_1N2,3
C7H9O3N3,3
C8H13N3O2,3
erythose (-H2O),3
C3O3,3
C6H14O_1,3
C3H7N1,3
C2H5N1,3
C1H3N1O2,3
C1H4S1,3
CO3,3
C3H8O3,3
C2H2O4,3
C4H8O2,3
C2H6O4,3
C4H4O3,3
O_2S2,3
Tyrosine,3
Glycine,3
O_1H4N2,3
C2H_2O2,3
C6H6O1N4,3
C13H6N2O4,3
C2H5N,3
C5H10N4,3
C9H11O1N5,3
C3H4O2,2
C5H2O_1N4,2
C7H12O1S1,2
C4H6O1S1,2
C5H8O2,2
biotinyl (-H),2
CH2O4,2
C12_C13,2
C17H19O2N1,2
C5H2O2,2
C6H4,2
N2,2
C6H8,2
H6N2O_1,2
C4H9N1O_2,2
C3H1N1O_1,2
C2H7O1N1,2
C2H6S1,2
H3O2,2
H3O_1N1S1,2
H2O4,2
uridine (-H2O),2
