Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
104.884778,1093682.1,0,0,0,0,0,0,0,0,0,0,104.884521063975,104.884521063975,105.891797530855,7.66,904350.3,0.00599848405949032,0
106.428921,1183276.5,0,0,0,0,0,0,0,0,0,0,106.428660521943,106.428660521943,107.435936988823,8.49,754361.6,0.00648987966724471,1
106.550528,1157367.5,0,0,0,0,0,0,0,0,0,0,106.55026724311,106.55026724311,107.55754370999,8.25,882755,0.00634777738405169,2
106.886995,1057232.1,0,0,0,0,0,0,0,0,0,0,106.88673347171,106.88673347171,107.89400993859,7.32,819808.6,0.00579856788278008,3
107.124554,1129766.4,0,0,0,0,0,0,0,0,0,0,107.124291927145,107.124291927145,108.131568394025,7.99,862066.1,0.00619639449283092,4
110.081785,1121746.9,0,0,0,0,0,0,0,0,0,0,110.081516153057,110.081516153057,111.088792619937,7.92,1047901.5,0.00615241019162029,5
110.594635,1052956.9,0,0,0,0,0,0,0,0,0,0,110.594364979142,110.594364979142,111.601641446022,7.28,752164,0.00577511982684945,6
111.012753,1046922.7,0,0,0,0,0,0,0,0,0,0,111.012482022245,111.012482022245,112.019758489125,7.22,683140.2,0.00574202423855027,7
111.513258,1065841.8,0,0,0,0,0,0,0,0,0,0,111.512985877001,111.512985877001,112.520262343881,7.4,772780.8,0.00584578923549948,8
111.537795,1085252.8,0,0,0,0,0,0,0,0,0,0,111.537522820862,111.537522820862,112.544799287742,7.58,790273.1,0.00595225214101724,9
111.720905,1142048.8,0,0,0,0,0,0,0,0,0,0,111.720632401931,111.720632401931,112.727908868811,8.11,626283.3,0.00626375938854631,10
111.732673,1060236.3,0,0,0,0,0,0,0,0,0,0,111.732400375009,111.732400375009,112.739676841889,7.35,842258.5,0.00581504492470252,11
111.787645,1099953.9,0,0,0,0,0,0,0,0,0,0,111.787372249247,111.787372249247,112.794648716127,7.72,911445.9,0.00603288280508953,12
111.802436,1045449.3,0,0,0,0,0,0,0,0,0,0,111.802163215409,111.802163215409,112.809439682289,7.21,897630.3,0.00573394312758279,13
111.818815,1259306.6,0,0,0,0,0,0,0,0,0,0,111.818542177939,111.818542177939,112.825818644819,9.2,464139.4,0.00690687958238591,14
111.824348,1031152.3,0,0,0,0,0,0,0,0,0,0,111.824075165281,111.824075165281,112.831351632161,7.08,937181.6,0.00565552881816094,15
111.830123,1081464.1,0,0,0,0,0,0,0,0,0,0,111.829850152069,111.829850152069,112.837126618949,7.55,890196.9,0.0059314723764438,16
111.83302,1033984,0,0,0,0,0,0,0,0,0,0,111.832747145442,111.832747145442,112.840023612322,7.1,805323.8,0.00567105975472035,17
111.836553,1221447.9,0,0,0,0,0,0,0,0,0,0,111.83628013736,111.83628013736,112.84355660424,8.85,714774.9,0.00669923715277769,18
111.848788,1054847.3,0,0,0,0,0,0,0,0,0,0,111.84851510937,111.84851510937,112.85579157625,7.3,806618.7,0.00578548804469452,19
111.863713,1130822.6,0,0,0,0,0,0,0,0,0,0,111.863440075226,111.863440075226,112.870716542106,8,947137.2,0.00620218739998707,20
111.8888,1247769.6,0,0,0,0,0,0,0,0,0,0,111.888527017836,111.888527017836,112.895803484716,9.09,731441.9,0.00684360295877258,21
111.895649,1198677.4,0,0,0,0,0,0,0,0,0,0,111.895376002168,111.895376002168,112.902652469048,8.64,784516.7,0.00657434850252308,22
111.947833,1146451.1,0,0,0,0,0,0,0,0,0,0,111.947559882791,111.947559882791,112.954836349671,8.15,948125.9,0.00628790454587776,23
111.953598,1060119,0,0,0,0,0,0,0,0,0,0,111.953324869603,111.953324869603,112.960601336483,7.35,666015.4,0.00581440157305566,24
111.964715,1050970.5,0,0,0,0,0,0,0,0,0,0,111.964441844172,111.964441844172,112.971718311052,7.26,792762.8,0.00576422508080233,25
111.969888,1069894.3,0,0,0,0,0,0,0,0,0,0,111.969614832338,111.969614832338,112.976891299218,7.44,816301.4,0.00586801585569477,26
111.998186,1049473.1,0,0,0,0,0,0,0,0,0,0,111.997912767605,111.997912767605,113.005189234485,7.25,1102247.5,0.00575601233778434,27
112.154194,1069838.8,0,0,0,0,0,0,0,0,0,0,112.153920410739,112.153920410739,113.161196877619,7.44,640505.1,0.00586771145657796,28
112.617697,1032689.1,0,0,0,0,0,0,0,0,0,0,112.6174223506,112.6174223506,113.62469881748,7.09,884033.2,0.00566395765712852,29
113.078709,1064473.1,0,0,0,0,0,0,0,0,0,0,113.07843329633,113.07843329633,114.08570976321,7.39,817586.2,0.00583828236935234,30
113.268551,1054207.1,0,0,0,0,0,0,0,0,0,0,113.268274862236,113.268274862236,114.275551329116,7.29,904297.8,0.0057819767597472,31
