Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
104.162767,1075328.9,0,0,0,0,0,0,0,0,0,0,104.162505213736,104.162505213736,105.169781680616,7.48,891576.6,0.00559610260273342,0
105.156053,1042001.6,0,0,0,0,0,0,0,0,0,0,105.155788728097,105.155788728097,106.163065194977,7.17,817282.8,0.00542266451298053,1
108.084767,1034077,0,0,0,0,0,0,0,0,0,0,108.084495391692,108.084495391692,109.091771858572,7.1,839432.4,0.00538142422390653,2
108.140469,1027215.9,0,0,0,0,0,0,0,0,0,0,108.140197252046,108.140197252046,109.147473718926,7.03,922335.2,0.00534571847883857,3
108.737482,1079150.4,0,0,0,0,0,0,0,0,0,0,108.737208755051,108.737208755051,109.744485221931,7.52,750435.9,0.00561599001215424,4
109.49138,1026011.2,0,0,0,0,0,0,0,0,0,0,109.491104863944,109.491104863944,110.498381330824,7.02,792385.2,0.00533944911808251,5
110.147662,1044792.9,0,0,0,0,0,0,0,0,0,0,110.147385217028,110.147385217028,111.154661683908,7.2,895010.1,0.00543719067441356,6
110.214633,1146201.5,0,0,0,0,0,0,0,0,0,0,110.214356048931,110.214356048931,111.221632515811,8.14,741438.8,0.00596492961121658,7
111.124479,1025185.4,0,0,0,0,0,0,0,0,0,0,111.124199764554,111.124199764554,112.131476231434,7.01,939498.5,0.00533515158499348,8
111.571518,1160865.4,0,0,0,0,0,0,0,0,0,0,111.5712376417,111.5712376417,112.57851410858,8.28,875040.7,0.00604124178785037,9
111.613438,1034451.6,0,0,0,0,0,0,0,0,0,0,111.613157536392,111.613157536392,112.620434003272,7.1,916980.9,0.00538337367400964,10
111.617197,1062787.4,0,0,0,0,0,0,0,0,0,0,111.616916526948,111.616916526948,112.624192993828,7.36,1151397.4,0.00553083557532238,11
111.636306,1040270.6,0,0,0,0,0,0,0,0,0,0,111.636025478943,111.636025478943,112.643301945823,7.15,662453.5,0.0054136562424827,12
111.668384,1085865.3,0,0,0,0,0,0,0,0,0,0,111.668103398356,111.668103398356,112.675379865236,7.58,976718.8,0.00565093492004902,13
111.671727,1134929.1,0,0,0,0,0,0,0,0,0,0,111.671446389957,111.671446389957,112.678722856837,8.04,518432.7,0.00590626708761189,14
111.684259,1157040.5,0,0,0,0,0,0,0,0,0,0,111.683978358474,111.683978358474,112.691254825354,8.24,601058,0.0060213366845418,15
111.690067,1220936.3,0,0,0,0,0,0,0,0,0,0,111.689786343882,111.689786343882,112.697062810762,8.83,863990.8,0.00635385583536508,16
111.714778,1496151.3,0,0,0,0,0,0,0,0,0,0,111.714497281801,111.714541376178,112.721817843058,11.39,790472.7,0.00778609798733484,17
111.724177,1103570.9,0,0,0,0,0,0,0,0,0,0,111.723896258187,111.723856683802,112.731133150682,7.74,623063.9,0.00574307636090768,18
111.730238,1028786.6,0,0,0,0,0,0,0,0,0,0,111.72995724296,111.72995724296,112.73723370984,7.05,873986.8,0.0053538925345699,19
111.734754,1380682.4,0,0,0,0,0,0,0,0,0,0,111.734473231614,111.734473231614,112.741749698494,10.32,772765.9,0.00718518805938185,20
