Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
103.728068,1036054.1,0,0,0,0,0,0,0,0,0,0,103.727984334895,103.727984334895,104.735260801775,7.11,937088.8,0.00556541981271944,0
105.608675,1028620.4,0,0,0,0,0,0,0,0,0,0,105.608586592338,105.608586592338,106.615863059218,7.04,1006064.6,0.00552548786200199,1
106.978993,1028572.6,0,0,0,0,0,0,0,0,0,0,106.978901078683,106.978901078683,107.986177545563,7.04,1159662.6,0.00552523109252726,2
107.541937,1205469,0,0,0,0,0,0,0,0,0,0,107.541843621196,107.541843621196,108.549120088076,8.69,987023.7,0.00647547368059167,3
107.573488,1031997.3,0,0,0,0,0,0,0,0,0,0,107.573394539268,107.573394539268,108.580671006148,7.08,983096.5,0.00554362771219472,4
107.772976,1047718.1,0,0,0,0,0,0,0,0,0,0,107.772882020672,107.772882020672,108.780158487552,7.22,887378.1,0.00562807586195042,5
108.944546,1067975.6,0,0,0,0,0,0,0,0,0,0,108.944448954508,108.944448954508,109.951725421388,7.41,996082.5,0.00573689401329615,6
109.22386,1283428.6,0,0,0,0,0,0,0,0,0,0,109.223762218349,109.223762218349,110.231038685229,9.41,720864.2,0.00689425287603299,7
110.007981,1080024,0,0,0,0,0,0,0,0,0,0,110.007881141174,110.007881141174,111.015157608054,7.52,760800,0.00580161496181763,8
110.223801,1149817.3,0,0,0,0,0,0,0,0,0,0,110.223700566734,110.223700566734,111.230977033614,8.17,978511.7,0.00617652686517776,9
110.690627,1027610.6,0,0,0,0,0,0,0,0,0,0,110.690525320196,110.690525320196,111.697801787076,7.04,1089862.1,0.00552006347255467,10
111.556343,1025881.6,0,0,0,0,0,0,0,0,0,0,111.55623899408,111.55623899408,112.56351546096,7.02,710341.8,0.00551077572314449,11
111.593671,1089938,0,0,0,0,0,0,0,0,0,0,111.593566893362,111.593566893362,112.600843360242,7.62,655872.7,0.00585487045496543,12
111.594257,1260946,0,0,0,0,0,0,0,0,0,0,111.594152891781,111.594152891781,112.601429358661,9.21,715595.3,0.00677348205192115,13
111.602601,1228849.6,0,0,0,0,0,0,0,0,0,0,111.602496869262,111.602496869262,112.609773336142,8.91,879105.6,0.00660106833291076,14
111.60548,1040205.5,0,0,0,0,0,0,0,0,0,0,111.605375861492,111.605382341756,112.612658808636,7.15,626494.7,0.00558772008044727,15
111.606983,1057469.4,0,0,0,0,0,0,0,0,0,0,111.606878857435,111.606878857435,112.614155324315,7.31,763575.3,0.0056804573719698,16
111.609986,1081017.3,0,0,0,0,0,0,0,0,0,0,111.60988184933,111.60988184933,112.61715831621,7.53,973866.5,0.00580695071745044,17
111.61041,1109173.3,0,0,0,0,0,0,0,0,0,0,111.610305848186,111.610305848186,112.617582315066,7.8,600030.6,0.00595819760720931,18
111.612775,1032205.2,0,0,0,0,0,0,0,0,0,0,111.612670841802,111.612670841802,112.619947308682,7.08,796256.1,0.0055447444982574,19
111.618626,1032004.9,0,0,0,0,0,0,0,0,0,0,111.618521826009,111.618521826009,112.625798292889,7.08,964106.1,0.00554366853746686,20
111.621788,1120508.8,0,0,0,0,0,0,0,0,0,0,111.621683817474,111.621683817474,112.628960284354,7.9,799361.5,0.00601908903776982,21
111.634098,1083504.3,0,0,0,0,0,0,0,0,0,0,111.633993784243,111.633993784243,112.641270251123,7.56,1119621.9,0.00582031025058122,22
111.643245,1065653.9,0,0,0,0,0,0,0,0,0,0,111.643140759548,111.643140759548,112.650417226428,7.39,560604.7,0.00572442242983425,23
