molecular formula,Altamaha_PP48_000107-4_p08
C(13)13H16O5,1733887.8
C7H12O3N2SP2,1352218.1
C12H10O7,10103590.0
C9H15O7P,1477546.3
C13H14O6,16247602.0
C10H18O6S,1538610.8
C12H14O5N2,1681205.3
C10H19O6P,1874741.8
C14H18O5,13294397.0
C15H22O4,4637512.5
C12H26O4S,15731530.0
C11H9O7N,1566305.8
C(13)11H10O7,1217636.4
C12H13O6N,3055725.5
C(13)12H14O6,2209392.0
C13H17O5N,1699961.0
C(13)13H18O5,2252411.5
C11H8O8,3452829.3
C12H12O5S,1426083.3
C12H12O7,18009514.0
C11H12O6N2,1351212.6
C13H16O4S,1471407.0
C13H16O6,27667892.0
C14H20O5,11955648.0
C15H24O4,2301644.3
C11H11O7N,2169067.5
C(13)11H12O7,1840366.3
C12H15O6N,3200759.5
C(13)12H16O6,3300090.0
C(13)13H20O5,1757702.0
C11H10O6S,1858088.0
C11H10O8,9697326.0
C15H10O5,1933362.8
C12H14O5S,2995764.0
C12H14O7,34148408.0
C11H14O6N2,1286205.4
C13H18O6,28868678.0
C14H22O5,6967377.5
C(13)10H10O8,1261177.4
C11H13O7N,3369346.8
C(13)11H14O7,4053893.5
C12H17O6N,1820046.9
C(13)12H18O6,3716497.5
C(13)13H22O5,1407389.6
C14H8O6,1581251.9
C11H12O6S,3555013.0
C11H13O6P,1405384.3
C11H12O8,23216842.0
C15H12O5,3093200.0
C12H16O5S,4302033.0
C12H16O7,34456280.0
C16H16O4,1912796.4
C13H20O6,14129891.0
C17H20O3,1329384.5
C14H24O5,2545903.5
C15H28O4,1947387.8
C(13)10H12O8,2491932.5
C14H11O5N,1423134.8
C11H15O7N,2226726.0
C(13)11H16O7,4110376.8
C(13)12H20O6,2387509.0
C13H6O7,1328480.0
C10H10O7S,1221089.1
C10H11O7P,1384036.5
C10H10O9,2092391.3
C14H10O6,5705068.5
C11H14O6S,3418989.5
C13H10O5N2,1342448.3
C11H14O8,20661620.0
C15H14O5,5775737.0
C12H18O5S,1230714.0
C12H19O5P,2079869.3
C12H18O7,13266304.0
C16H18O4,2650501.3
C13H22O6,4379020.5
C17H22O3,1384849.6
C13H9O6N,1976512.4
C(13)10H14O8,2416842.3
