Name,Mass,Biotic/abiotic
CH4_O,0.03638,Biotic
NH_CH2,0.99525,Biotic
2ndIP,1.997,NA
Na_H,21.98194,NA
CH3COO-,59.013305,Abiotic
PO43-,94.953423,Abiotic
SO42-,95.951732,Abiotic
NO3-,61.987819,Abiotic
NH4+,18.034374,Abiotic
H2S,33.987722,Abiotic
S2O32-,111.928889,Abiotic
Alanine,71.03711384,Biotic
Arginine,156.1011111,Biotic
Asparagine,114.0429275,Biotic
Aspartic Acid,115.0269431,Biotic
Cysteine,103.0091856,Biotic
Cystine,222.0132859,Biotic
Glutamic Acid,129.0425932,Biotic
Glutamine,128.0585776,Biotic
Glycine,57.02146376,Biotic
Histidine,137.0589119,Biotic
Isoleucine,113.0840641,Biotic
Lysine,128.0949631,Biotic
Methionine,131.0404858,Biotic
Phenylalanine,147.068414,Biotic
Proline,97.05276391,Biotic
Serine,87.03202848,Biotic
Threonine,101.0476785,Biotic
Tryptophan,186.079313,Biotic
Tyrosine,163.0633286,Biotic
Valine,99.06841398,Biotic
acetotacetate (-H2O),84.02112943,Abiotic
acetone (-H),57.03403983,Abiotic
adenylate (-H2O),329.0525217,Biotic
biotinyl (-H),243.0803393,Biotic
biotinyl (-H2O),226.0775996,Biotic
carbamoyl P transfer (-H2PO4),44.01363872,Biotic
co-enzyme A (-H),765.0995656,Biotic
co-enzyme A (-H2O),748.0968259,Biotic
glutathione (-H2O),289.0732426,Biotic
isoprene addition (-H),67.05477526,Biotic
malonyl group (-H2O),86.00039399,Biotic
palmitoylation (-H2O),238.2296658,Biotic
pyridoxal phosphate (-H2O),229.0140109,Biotic
urea addition (-H),59.02453777,Biotic
adenine (-H),134.0466702,Biotic
adenosine (-H2O),249.0861894,Biotic
Adenosine 5'-diphosphate (-H2O),409.0188541,Biotic
cytidine 5' diphosphate (-H2O),385.0076207,Biotic
cytidine 5' monophsophate (-H2O),305.0412884,Biotic
cytosine (-H),110.0354368,Biotic
Guanosine 5- diphosphate (-H2O),425.0137687,Biotic
Guanosine 5- monophosphate (-H2O),345.0474364,Biotic
guanine (-H),150.0415848,Biotic
guanosine (-H2O),265.081104,Biotic
deoxythymidine 5' diphosphate (-H2O),384.0123717,Biotic
thymidine (-H2O),224.079707,Biotic
thymine (-H),125.0351025,Biotic
thymidine 5' monophosphate (-H2O),304.0460394,Biotic
uridine 5' diphosphate (-H2O),385.9916363,Biotic
uridine 5' monophosphate (-H2O),306.0253039,Biotic
uracil (-H),111.0194524,Biotic
uridine (-H2O),226.0589716,Biotic
acetylation (-H),59.01330439,Abiotic
acetylation (-H2O),42.01056471,Abiotic
C2H2,26.01565,Abiotic
Carboxylation,43.98982928,Abiotic
CHO2,44.99765432,Abiotic
condensation/dehydration,18.01056471,Abiotic
diphosphate,160.9404898,Abiotic
ethyl addition (-H2O),28.03130015,Abiotic
Formic Acid (-H2O),27.99491464,Abiotic
glyoxylate (-H2O),55.98982928,Abiotic
hydrogenation/dehydrogenation,2.015650074,Abiotic
hydroxylation (-H),15.99491464,Abiotic
Inorganic Phosphate,30.9737634,Abiotic
methanol (-H2O),14.01565007,Abiotic
phosphate,79.96633236,Abiotic
primary amine,16.01872408,Biotic
pyrophosphate,61.9475268,Biotic
secondary amine,15.01089905,Biotic
sulfate (-H2O),79.95681572,Abiotic
tertiary amine,14.00307401,Biotic
C6H10O5,162.0528236,Biotic/abiotic
C6H10O6,178.0477382,Biotic/abiotic
D-Ribose (-H2O) (ribosylation),132.0422589,Biotic/abiotic
disaccharide (-H2O),340.1005618,Biotic/abiotic
glucose-N-Phosphate (-H2O),242.0191559,Biotic/abiotic
Glucuronic Acid (-H2O),176.0320881,Biotic/abiotic
trisaccharide (-H2O),486.1584707,Biotic/abiotic
erythose (-H2O),102.031695,Biotic/abiotic
transamination (-O),2.039459,Biotic/abiotic
H2N1O_1,0.023809,Biotic
C_1H_5N_1O2,0.947631,Biotic
H_1O1N_1,0.984016,Biotic
C_1H_1N1,0.995249,Biotic
C12_C13,1.0033554,Biotic
H1,1.007825,Biotic
H3N1O_3S1,1.013876,Biotic
H3O_1N1,1.031634,Biotic
H_2N_2O2,1.968032,Biotic
H_1O_2Cl1,1.9712,Biotic
C_1H_2O1,1.979265,Biotic
N_1O1,1.991841,Biotic
H_1O_1F1,1.9957,Biotic
H2,2.01565,Biotic
CH6O_1,2.052035,Biotic
H_3N_3O3,2.952048,Biotic
C_1H1N1O_2S1,2.993141,Biotic
H1O1N_1,2.999666,Biotic
H3,3.023475,Biotic
H5O_1N1,3.047284,Biotic
C_1O1,3.994915,Biotic
H4,4.0313,Biotic
H3N_1O1,5.015316,Biotic
C4H6N1O_2P_1,5.086431,Biotic
C_2H_2O2,5.97418,Biotic
