Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_PP48_000107-3_p08
102.243782690239,0,0,0,0,0,0,0,0,,None,103.251059157119,0,0,1242651.8
104.137178263995,0,0,0,0,0,0,0,0,,None,105.144454730875,0,0,2188340.5
106.102014699585,0,0,0,0,0,0,0,0,,None,107.109291166465,0,0,1193660.5
106.197969429572,0,0,0,0,0,0,0,0,,None,107.205245896452,0,0,1029424.9
106.248197288296,0,0,0,0,0,0,0,0,,None,107.255473755176,0,0,1043051
107.193602637369,0,0,0,0,0,0,0,0,,None,108.200879104249,0,0,1097063.1
108.569152808085,0,0,0,0,0,0,0,0,,None,109.576429274965,0,0,1051013.5
109.131186252931,0,0,0,0,0,0,0,0,,None,110.138462719811,0,0,1122789.9
109.602634952643,0,0,0,0,0,0,0,0,,None,110.609911419523,0,0,1030220
110.293719053526,0,0,0,0,0,0,0,0,,None,111.300995520406,0,0,1060279.6
110.868802479461,0,0,0,0,0,0,0,0,,None,111.876078946341,0,0,1054223
110.891517417405,0,0,0,0,0,0,0,0,,None,111.898793884285,0,0,1067001.9
110.989154150766,0,0,0,0,0,0,0,0,,None,111.996430617646,0,0,1087429.1
111.16574766892,0,0,0,0,0,0,0,0,,None,112.1730241358,0,0,1040072.8
111.508062736419,0,0,0,0,0,0,0,0,,None,112.515339203299,0,0,1091185.3
111.556329605097,0,0,0,0,0,0,0,0,,None,112.563606071977,0,0,1038467.1
111.604979472774,0,0,0,0,0,0,0,0,,None,112.612255939654,0,0,1092660.9
111.637625384002,0,0,0,0,0,0,0,0,,None,112.644901850882,0,0,1220099.5
111.645020363896,0,0,0,0,0,0,0,0,,None,112.652296830776,0,0,1052283.1
111.653914339716,0,0,0,0,0,0,0,0,,None,112.661190806596,0,0,1064064.8
111.659236325248,0,0,0,0,0,0,0,0,,None,112.666512792128,0,0,1100970.5
111.690727239646,0,0,0,0,0,0,0,0,,None,112.698003706526,0,0,1035837.2
111.711512183156,0,0,0,0,0,0,0,0,,None,112.718788650036,0,0,1035952.3
111.714435175212,0,0,0,0,0,0,0,0,,None,112.721711642092,0,0,1044072.1
111.719703160896,0,0,0,0,0,0,0,0,,None,112.726979627776,0,0,1133343.9
111.72374214992,0,0,0,0,0,0,0,0,,None,112.7310186168,0,0,1065451.8
111.773487014762,0,0,0,0,0,0,0,0,,None,112.780763481642,0,0,1073129.6
111.777613003554,0,0,0,0,0,0,0,0,,None,112.784889470434,0,0,1140589.4
111.794644957288,0,0,0,0,0,0,0,0,,None,112.801921424168,0,0,1026828.7
111.827918866918,0,0,0,0,0,0,0,0,,None,112.835195333798,0,0,1062623.3
111.845440819337,0,0,0,0,0,0,0,0,,None,112.852717286217,0,0,1366658.5
111.873041744397,0,0,0,0,0,0,0,0,,None,112.880318211277,0,0,1081281.4
111.985625438853,0,0,0,0,0,0,0,0,,None,112.992901905733,0,0,1076188.6
112.07236020361,0,0,0,0,0,0,0,0,,None,113.07963667049,0,0,1077093.1
112.175548923907,0,0,0,0,0,0,0,0,,None,113.182825390787,0,0,1092141
112.578896832349,0,0,0,0,0,0,0,0,,None,113.586173299229,0,0,1136069.4
112.836770135941,0,0,0,0,0,0,0,0,,None,113.844046602821,0,0,1032836.2
113.05433654927,0,0,0,0,0,0,0,0,,None,114.06161301615,0,0,1058788.8
113.389378647407,0,0,0,0,0,0,0,0,,None,114.396655114287,0,0,1051758.3
113.468550434574,0,0,0,0,0,0,0,0,,None,114.475826901454,0,0,1045455.9
113.472651423552,0,0,0,0,0,0,0,0,,None,114.479927890432,0,0,1033167.8
113.609014057236,0,0,0,0,0,0,0,0,,None,114.616290524116,0,0,1045763.8
113.768247629882,0,0,0,0,0,0,0,0,,None,114.775524096762,0,0,1045499.5
113.906485259229,0,0,0,0,0,0,0,0,,None,114.913761726109,0,0,1030043.9
114.261891307782,0,0,0,0,0,0,0,0,,None,115.269167774662,0,0,1031183.6
114.8385897685,0,0,0,0,0,0,0,0,,None,115.84586623538,0,0,1155649
114.867062692648,0,0,0,0,0,0,0,0,,None,115.874339159528,0,0,1033984.6
116.43320154169,0,0,0,0,0,0,0,0,,None,117.44047800857,0,0,1042804
116.439057526247,0,0,0,0,0,0,0,0,,None,117.446333993127,0,0,1053640
116.605651087164,0,0,0,0,0,0,0,0,,None,117.612927554044,0,0,1037584.9
116.748628710698,0,0,0,0,0,0,0,0,,None,117.755905177578,0,0,1034122.1
117.039610945599,0,0,0,0,0,0,0,0,,None,118.046887412479,0,0,1073565.3
117.238228424181,0,0,0,0,0,0,0,0,,None,118.245504891061,0,0,1119912.1
117.604974463138,0,0,0,0,0,0,0,0,,None,118.612250930018,0,0,1068911
117.952194555352,0,0,0,0,0,0,0,0,,None,118.959471022232,0,0,1097015.4
118.15325503062,0,0,0,0,0,0,0,0,,None,119.1605314975,0,0,1140973.1
118.371020463059,0,0,0,0,0,0,0,0,,None,119.378296929939,0,0,1118932.1
118.878646143134,0,0,0,0,0,0,0,0,,None,119.885922610014,0,0,1058015.4
119.261964149301,0,0,0,0,0,0,0,0,,None,120.269240616181,0,0,1097144.8
119.312923017365,0,0,0,0,0,0,0,0,,None,120.320199484245,0,0,1025939.3
119.502033528127,0,0,0,0,0,0,0,0,,None,120.509309995007,0,0,1130485
119.646882153801,0,0,0,0,0,0,0,0,,None,120.654158620681,0,0,1064461
119.670335093226,0,0,0,0,0,0,0,0,,None,120.677611560106,0,0,1290430.3
119.964148335134,0,0,0,0,0,0,0,0,,None,120.971424802014,0,0,1052279.6
120.921021876236,0,0,0,0,0,0,0,0,,None,121.928298343116,0,0,1037395.4
121.818921582786,0,0,0,0,0,0,0,0,,None,122.826198049666,0,0,1121852
121.839326530823,0,0,0,0,0,0,0,0,,None,122.846602997703,0,0,1160854
122.125288803323,0,0,0,0,0,0,0,0,,None,123.132565270203,0,0,1086579.4
122.722502288373,0,0,0,0,0,0,0,0,,None,123.729778755253,0,0,1050846.5
