molecular formula,Altamaha_SW48_000107-2_p08
C12H15O6N,2413726.8
C(13)12H16O6,3325857.3
C11H10O8,11175102.0
C12H14O5S,2053316.0
C12H14O7,30137546.0
C11H14O6N2,1249996.9
C16H14O4,1312718.0
C13H18O6,23145684.0
C14H22O5,5876959.5
C(13)10H10O8,1616369.9
C11H13O7N,2430970.5
C(13)11H14O7,4271613.0
C12H17O6N,1230085.8
C(13)12H18O6,3072520.3
C10H9O7P,1425181.3
C14H8O6,1539620.6
C11H12O6S,1873445.6
C11H13O6P,1393448.6
C11H12O8,26107692.0
C15H12O5,2555183.8
C12H16O5S,2902321.0
C12H17O5P,1216051.9
C12H16O7,30080822.0
C11H16O6N2,1476410.0
C16H16O4,1843259.1
C13H20O6,12687170.0
C14H24O5,2225741.0
C(13)10H12O8,2525284.5
C(13)11H17O5P,1704813.3
C(13)11H16O7,3875439.8
C(13)12H20O6,1418619.3
C13H6O7,1293841.0
C10H10O7S,1925522.1
C10H11O7P,1641877.1
C10H10O9,3514775.8
C14H10O6,4402588.5
C11H14O6S,2275229.8
C11H15O6P,2090144.6
C11H14O8,22479268.0
C15H14O5,3745704.0
C12H19O5P,2218412.3
C12H18O7,12302767.0
C16H18O4,2498483.5
C13H22O6,3399098.3
C13H9O6N,1360856.5
C(13)10H14O8,2856673.8
C14H13O5N,1645028.0
C(13)11H18O7,1468909.4
C9H9O8P,1207307.6
C13H8O7,4212755.0
C10H12O7S,2221844.3
C10H13O7P,3155991.3
C10H12O9,2886169.8
C14H12O6,9319455.0
C11H16O6S,1963807.9
C11H17O6P,4725283.0
C11H16O8,6804517.5
C15H16O5,6385706.5
C12H21O5P,2840110.8
C12H20O7,2316849.3
C16H20O4,2430518.3
C13H11O6N,1895263.4
C(13)13H12O6,1269346.0
C14H15O5N,1234539.0
C9H11O8P,1254294.8
C13H10O7,9451166.0
C10H14O7S,2007711.4
C10H15O7P,3870370.5
C10H14O9,1263269.1
C14H14O6,12175018.0
C11H19O6P,3644590.5
C15H18O5,9148086.0
C12H23O5P,1609402.3
C16H22O4,2667201.8
C12H9O7N,1406819.0
C13H13O6N,2147822.8
C(13)13H14O6,2005745.5
C14H17O5N,1362682.8
C(13)14H18O5,1605629.4
C12H26O4NP,3097611.0
C12H8O8,3797285.8
C9H13O8P,1524906.0
C13H12O7,15413554.0
C10H16O7S,1353522.8
C10H17O7P,3714870.0
C14H16O6,16544062.0
C11H21O6P,2415425.8
C15H20O5,12783946.0
C16H24O4,1311573.5
C13H28O4S,2391894.8
C12H11O7N,2028665.9
C(13)12H12O7,2784380.5
C13H15O6N,2365062.0
C(13)13H16O6,2257032.5
C(13)14H20O5,2168468.8
C12H10O6S,1254330.1
C12H10O8,9976768.0
C13H14O5S,1478598.3
C12H16O2N2P2,1337290.3
C13H14O7,23636940.0
C12H14O6N2,1247183.9
C10H19O7P,2219216.5
C14H18O6,24079320.0
C15H22O5,10994660.0
C12H13O7N,3448599.5
C(13)12H14O7,3240730.0
C13H17O6N,2344739.5
C(13)13H18O6,4007718.3
C(13)14H22O5,1831474.4
