Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_SW48_000107-4_p08
104.615493793275,0,0,0,0,0,0,0,0,,None,105.622770260155,0,0,1129667.9
107.802406332118,0,0,0,0,0,0,0,0,,None,108.809682798998,0,0,1051613.3
107.844413247782,0,0,0,0,0,0,0,0,,None,108.851689714662,0,0,1097590.9
108.478671977016,0,0,0,0,0,0,0,0,,None,109.485948443896,0,0,1059090.1
108.833846267546,0,0,0,0,0,0,0,0,,None,109.841122734426,0,0,1022721.9
109.107157722644,0,0,0,0,0,0,0,0,,None,110.114434189524,0,0,1137894.5
109.332854273355,0,0,0,0,0,0,0,0,,None,110.340130740235,0,0,1026413.9
109.571408799142,0,0,0,0,0,0,0,0,,None,110.578685266022,0,0,1094208.9
109.736645471079,0,0,0,0,0,0,0,0,,None,110.743921937959,0,0,1051499.9
109.837297271406,0,0,0,0,0,0,0,0,,None,110.844573738286,0,0,1029394.5
111.579677834297,0,0,0,0,0,0,0,0,,None,112.586954301177,0,0,1081976.6
111.679207639066,0,0,0,0,0,0,0,0,,None,112.686484105946,0,0,1053008.3
111.695798606534,0,0,0,0,0,0,0,0,,None,112.703075073414,0,0,1109291.5
111.737201525365,0,0,0,0,0,0,0,0,,None,112.744477992245,0,0,1058709.8
111.741460517016,0,0,0,0,0,0,0,0,,None,112.748736983896,0,0,1199801.5
111.74533050943,0,0,0,0,0,0,0,0,,None,112.75260697631,0,0,1287457.4
111.750100500081,0,0,0,0,0,0,0,0,,None,112.757376966961,0,0,1123393.3
111.757470485635,0,0,0,0,0,0,0,0,,None,112.764746952515,0,0,1147456.9
111.764843471185,0,0,0,0,0,0,0,0,,None,112.772119938065,0,0,1024560.6
111.771813457524,0,0,0,0,0,0,0,0,,None,112.779089924404,0,0,1096248.3
111.782246437078,0,0,0,0,0,0,0,0,,None,112.789522903958,0,0,1072787.8
111.808011386591,0,0,0,0,0,0,0,0,,None,112.815287853471,0,0,1074906.8
111.822514358175,0,0,0,0,0,0,0,0,,None,112.829790825055,0,0,1056118.1
111.827530348348,0,0,0,0,0,0,0,0,,None,112.834806815228,0,0,1135261.9
111.835558332621,0,0,0,0,0,0,0,0,,None,112.842834799501,0,0,1057133.5
111.84929030572,0,0,0,0,0,0,0,0,,None,112.8565667726,0,0,1106802.9
111.851693301013,0,0,0,0,0,0,0,0,,None,112.858969767893,0,0,1401588.9
111.852391299646,0,0,0,0,0,0,0,0,,None,112.859667766526,0,0,1142188.8
111.854032296431,0,0,0,0,0,0,0,0,,None,112.861308763311,0,0,1028124.8
111.863693277508,0,0,0,0,0,0,0,0,,None,112.870969744388,0,0,1025270.3
111.871123262955,0,0,0,0,0,0,0,0,,None,112.878399729835,0,0,1089484
111.885834234143,0,0,0,0,0,0,0,0,,None,112.893110701023,0,0,1042487.4
111.889816226345,0,0,0,0,0,0,0,0,,None,112.897092693225,0,0,1066391.3
111.922382162574,0,0,0,0,0,0,0,0,,None,112.929658629454,0,0,1063433.9
111.923742159911,0,0,0,0,0,0,0,0,,None,112.931018626791,0,0,1028837.8
111.932176143398,0,0,0,0,0,0,0,0,,None,112.939452610278,0,0,1022413.4
112.078651856745,0,0,0,0,0,0,0,0,,None,113.085928323625,0,0,1029959.4
112.176187666011,0,0,0,0,0,0,0,0,,None,113.183464132891,0,0,1029319.4
112.408672211841,0,0,0,0,0,0,0,0,,None,113.415948678721,0,0,1078234.3
112.422270185297,0,0,0,0,0,0,0,0,,None,113.429546652177,0,0,1066205.8
112.705485632947,0,0,0,0,0,0,0,0,,None,113.712762099827,0,0,1108787.1
113.655705786786,0,0,0,0,0,0,0,0,,None,114.662982253666,0,0,1074180.8
113.731081640804,0,0,0,0,0,0,0,0,,None,114.738358107684,0,0,1045202.7
114.153745823479,0,0,0,0,0,0,0,0,,None,115.161022290359,0,0,1107680.1
114.971417248376,0,0,0,0,0,0,0,0,,None,115.978693715256,0,0,1244705.1
114.974283242869,0,0,0,0,0,0,0,0,,None,115.981559709749,0,0,1023689.1
115.37714246978,0,0,0,0,0,0,0,0,,None,116.38441893666,0,0,1028292.5
115.53046017607,0,0,0,0,0,0,0,0,,None,116.53773664295,0,0,1053363.3
115.821248619779,0,0,0,0,0,0,0,0,,None,116.828525086659,0,0,1104065.8
115.843557577143,0,0,0,0,0,0,0,0,,None,116.850834044023,0,0,1086701.6
116.435966447109,0,0,0,0,0,0,0,0,,None,117.443242913989,0,0,1155090
116.546812236131,0,0,0,0,0,0,0,0,,None,117.554088703011,0,0,1094962.6
116.804326746556,0,0,0,0,0,0,0,0,,None,117.811603213436,0,0,1121492.6
116.839818679143,0,0,0,0,0,0,0,0,,None,117.847095146023,0,0,1067653
116.916621533313,0,0,0,0,0,0,0,0,,None,117.923898000193,0,0,1028285.8
