Samples,MLBl,IDEG,CRAM_ratio,IOS_ratio,NeutralMass.mean,DBE.mean,DBEO.mean,AI.mean,AImod.mean,O_C.mean,H_C.mean,N_C.mean,P_C.mean,N_P.mean,P_N.mean,NOSC.mean,GFE.mean,PI.mean,TheoMass.mean,KMD-CH2.mean,KMD-CO2.mean,KMD-H2.mean,KMD-O2.mean,KMD-OH.mean,KMD-CHO.mean,KMD-H2O.mean,KMD-OCH2.mean,KMD-C6H4O.mean,Ymet.mean,NeutralMass.se,DBE.se,DBEO.se,AI.se,AImod.se,O_C.se,H_C.se,N_C.se,P_C.se,N_P.se,P_N.se,NOSC.se,GFE.se,PI.se,TheoMass.se,KMD-CH2.se,KMD-CO2.se,KMD-H2.se,KMD-O2.se,KMD-OH.se,KMD-CHO.se,KMD-H2O.se,KMD-OCH2.se,KMD-C6H4O.se,Ymet.se
Altamaha_SW48_000107-3_p08,0.1254442075337597,0.6533640250462442,0.5493958777540867,0.0714285714285714,399.23509658988473,8.857868039341868,-0.6126624246417257,0.0580180048448798,0.2862007300784234,0.5211199037044257,1.1660598957571615,0.0072108533726748,0.0,inf,0.0,-0.0942860587800078,62.987153371310775,0.5283307548013809,398.22737085038136,0.3339038170526286,-0.2028265290570158,2.9811743643570816,-0.2373622947918953,-0.0465858841363231,-0.0731383569192103,0.1227293207456488,0.029366287099964,0.0027020410533777,0.1148966559243338,0.0036489500029957,7.731823593939987e-05,2.378545616317999e-05,7.871121763140388e-07,2.804908579539301e-06,5.144895945478787e-06,1.279713761821624e-05,1.0365386924997713e-07,0.0,,0.0,6.364379105266003e-06,0.000696681420059,5.131207035870288e-06,0.0036391502412384,2.987987148284345e-06,2.0428840829014582e-06,2.7134415173925077e-05,2.348406159026623e-06,7.700401404577074e-07,9.559650097696498e-07,1.1472248260543908e-06,5.702478682645296e-07,5.562734010881592e-07,1.1781421033137073e-06
Altamaha_SW48_000107-2_p08,0.1046869654464591,0.6807351533466353,0.5501197399931577,0.0697913102976394,410.1672521949051,9.24252050376619,-0.7257641078599237,0.0546158727565068,0.293529054826621,0.5409988595972266,1.1381519736479526,0.0067312801214659,0.0,inf,0.0,-0.0303260934245365,61.16429403105282,0.5477301268579065,409.1595162230696,0.3493798361152305,-0.202084841682979,3.0693233049271385,-0.2375686839171392,-0.0415550756012507,-0.0688364673730883,0.1324081735120071,0.0364821360878104,0.0090859026502047,0.1144594041776626,0.0035528397353309,7.81914320918876e-05,2.3659741233633075e-05,6.927465691980728e-07,2.786687133445768e-06,5.330387484827618e-06,1.1110998057149444e-05,8.398024656361365e-08,0.0,,0.0,4.226903756810309e-06,0.000591259356935,5.316895109418707e-06,0.003543638508089,3.049561634910151e-06,1.80626704669451e-06,2.658026366134594e-05,2.1062678185852083e-06,5.591971261369862e-07,7.357663460360344e-07,1.2168340580971767e-06,5.245361644808162e-07,4.29255111076829e-07,1.1441176358555337e-06
Altamaha_PP48_000107-3_p08,0.1031770997168921,0.6514981004089127,0.5577225542623466,0.0707769738911607,401.2268155736114,9.127169407326583,-0.376451709035257,0.0634136935046479,0.2979032146072801,0.521973724341269,1.143270341996741,0.009186019590583,0.0,inf,0.0,-0.0657894884227568,62.17500057180296,0.5311597386791231,400.2191017247595,0.3374748178193841,-0.2019399806414761,2.99798566668904,-0.2366484767205486,-0.044917899438014,-0.0716031741924197,0.1252441340296841,0.0314141459499144,0.0046165388984133,0.1148419570954654,0.0032283182353768,7.115193024259583e-05,1.9919011069496374e-05,7.187222624630566e-07,2.6266422395175287e-06,4.73241228091255e-06,1.048954243883946e-05,9.40870212336958e-08,0.0,,0.0,3.768725610654468e-06,0.000568765790172,4.719342253471022e-06,0.0032196930707299,2.705526309387985e-06,1.7015910954184825e-06,2.4085790932344603e-05,1.9749376623285628e-06,5.452999817871833e-07,7.167871244669057e-07,1.0416712916123166e-06,4.32642886062038e-07,3.740976141325574e-07,1.0617531517215892e-06
Altamaha_PP48_000107-2_p08,0.1082457815982171,0.6651314848366846,0.5466411970709965,0.06717605858007,408.4469801558211,9.261001756308453,-0.6378433262882308,0.0578956678222813,0.2962115184984872,0.5385325280436803,1.1354774003001196,0.0066669242543532,0.0,inf,0.0,-0.0332371040983941,61.24725772877413,0.5451994494616397,407.4392418656376,0.3477560971279421,-0.2013899970699906,3.056263808447748,-0.2367246506835118,-0.0415351639405947,-0.0687018535561996,0.1316966723502666,0.0361739473160928,0.0088928988760332,0.1147605323771982,0.0033168951426605,7.324700445759145e-05,2.17526096998095e-05,6.695692370132684e-07,2.6359827257158497e-06,4.9816998487381735e-06,1.03690480008668e-05,7.390390582107906e-08,0.0,,0.0,3.793983675091009e-06,0.0005528225110619,4.969924881487936e-06,0.0033082610443808,2.845864454531537e-06,1.6836283197602976e-06,2.481485249336521e-05,1.964041035666565e-06,5.140972429978764e-07,6.807767213652459e-07,1.1327218322666796e-06,4.815704291104876e-07,3.906145135771258e-07,1.075471562796266e-06
Altamaha_SW48_000107-4_p08,0.1156572164948453,0.6680956189447912,0.5260953608247423,0.0650773195876288,405.428366343076,9.146805560440672,-0.6581266410206665,0.0575771516490642,0.2950828161652962,0.537404615866649,1.1398624862868347,0.0070016515023353,0.0,inf,0.0,-0.0367059844021552,61.34612095957221,0.5444062503418453,404.4206395189904,0.3452405209285423,-0.1998371048494159,3.03368166306896,-0.2349099739870702,-0.0411665910609269,-0.0681320103406101,0.1307818194481009,0.0359667953231728,0.0088878644713286,0.1156726222415805,0.0033368362254808,7.331071245262823e-05,2.1614329769053983e-05,6.90390204099226e-07,2.653908892260884e-06,4.944549202769896e-06,1.0786371452285917e-05,8.423110982847478e-08,0.0,,0.0,4.612589411002943e-06,0.0005797102644145,4.932407645595393e-06,0.0033280690563105,2.840440385775058e-06,1.7321874099141195e-06,2.493516861085014e-05,2.013041751289369e-06,5.688811110587185e-07,7.33510879629857e-07,1.128106658778198e-06,5.040505362631091e-07,4.3208486947008086e-07,1.0843661582112045e-06
Altamaha_PP48_000107-4_p08,0.1046831955922865,0.701133834528324,0.5567799204162841,0.0679522497704315,408.9664853191616,9.279571093949366,-0.4973180964161546,0.0592980666605018,0.2971177138681138,0.5280627321182785,1.1399752740379852,0.007313102443008,0.0,inf,0.0,-0.0559398198437147,61.89428513508624,0.5353758426681887,407.9587572167284,0.3457369945410109,-0.2041093017895498,3.0576982547337064,-0.2394890097154498,-0.0440506418529518,-0.0712519710191995,0.129402077919684,0.0337575543030436,0.0064417204961609,0.1131076662324022,0.0033133973243445,7.297441949179605e-05,2.0243514378099e-05,6.510962711759119e-07,2.6062083020868933e-06,4.835315931845503e-06,1.039454942706354e-05,7.625930152596875e-08,0.0,,0.0,3.56771900734841e-06,0.0005596076986175,4.824679226573236e-06,0.0033047493663921,2.804550438650397e-06,1.7114791315072248e-06,2.4752603892804215e-05,1.9925434851294424e-06,5.216115947712431e-07,6.974888896225589e-07,1.090290941594112e-06,4.415059546711597e-07,3.626363875548538e-07,1.0485292861005322e-06
