sample,MLBl,NeutralMass.mean,DBE.mean,DBEO.mean,AI.mean,AImod.mean,O_C.mean,H_C.mean,N_C.mean,P_C.mean,NOSC.mean,GFE.mean,PI.mean,nkm.mean,KD-CH2.mean,KD-CO2.mean,KD-H2.mean,KD-O2.mean,KD-H2O.mean,KD-CHO.mean,Ymet.mean,NeutralMass.se,DBE.se,DBEO.se,AI.se,AImod.se,O_C.se,H_C.se,N_C.se,P_C.se,NOSC.se,GFE.se,PI.se,nkm.se,KD-CH2.se,KD-CO2.se,KD-H2.se,KD-O2.se,KD-H2O.se,KD-CHO.se,Ymet.se
Altamaha_PP48_000107-2_p08,0.1886246122026887,403.6181651581566,8.69324881657874,-0.6274029436015683,0.0598004315557436,0.2669233296218454,0.518296479448088,1.1934933708975517,0.0034976895952961,0.0123849842666334,-0.2039955647077331,66.1138731315821,0.5217941644359838,401.8190772667653,0.1385235103329122,0.4213526980325866,2.8093837684866507,0.4540152570169723,0.114042526243075,0.2986989066936393,0.1123663119987796,0.0017075157867062,3.728370748886239e-05,1.2641082616827525e-05,4.201523256311029e-07,1.3380540123385406e-06,2.518584183820176e-06,5.57226978821961e-06,3.9869082649533694e-08,1.0920060546018001e-07,2.6919999429504296e-06,0.0003006048709392,2.515519438145369e-06,0.0017078087475913,5.87991564959379e-07,1.8408267975904012e-06,1.1836092128093064e-05,1.990748895799816e-06,5.114032483528344e-07,1.2835535738387993e-06,5.464928624470993e-07
Altamaha_PP48_000107-3_p08,0.1810607600081284,400.3711393958689,8.669600390823053,-0.3136475434460074,0.0671503623521995,0.2676813490742352,0.5000653409919017,1.2007870828824276,0.0046644432073126,0.013943839068475,-0.2512752665315002,67.46134474165184,0.504729786329671,398.58678104287657,0.1370751986514638,0.4210075138986242,2.7873319154998133,0.4529268180447225,0.1206082559444554,0.3011448003972884,0.1110948894927615,0.0016256163871262,3.511115825151667e-05,1.2520266504725711e-05,4.612068034551567e-07,1.2845753104637691e-06,2.327588215457427e-06,5.543811248723772e-06,4.5298523947757286e-08,1.226841341250551e-07,2.706471279588648e-06,0.0003043141627469,2.3240507652228945e-06,0.001625950032884,5.39017847864507e-07,1.7877500242315515e-06,1.1229086994942051e-05,1.931339042293925e-06,5.147686288583707e-07,1.2542135168943805e-06,5.240414215811987e-07
Altamaha_PP48_000107-4_p08,0.1776975531488167,405.8649894722603,8.791724950291146,-0.4732294901798676,0.0617355054342178,0.2696017981646122,0.5091360466982485,1.1923854357418469,0.0035762108306884,0.0121041434657405,-0.2188185070950966,66.53632705174135,0.5127122580227079,404.0510706608412,0.1398783833709836,0.4252132035971075,2.825993402316477,0.4576921230646598,0.1194513941189359,0.303249082341077,0.1104433922597078,0.0017083794089656,3.7210038326567056e-05,1.2011806933040478e-05,4.09263860409807e-07,1.3224342732447355e-06,2.455491363425356e-06,5.539472597510605e-06,3.7254628338998764e-08,1.0362784410951085e-07,2.4552755902512293e-06,0.0003009550885554,2.4526032404875788e-06,0.0017085630432855,5.687494026292014e-07,1.8531318657586457e-06,1.182490312453136e-05,2.003624874433823e-06,5.116306554495051e-07,1.2932382846424064e-06,5.341965793548492e-07
Altamaha_SW48_000107-2_p08,0.1831858407079646,405.4259218051242,8.711921410339915,-0.6577693864907102,0.058623452132232,0.2652287188116721,0.5195836505444809,1.1943065472417769,0.0033704872889271,0.0126564475700443,-0.2034012905745898,66.09693654591428,0.5229541379178686,403.67481612174834,0.1400973094123102,0.4230927824723518,2.822950057327128,0.4559075082363595,0.1144097986473809,0.2998833846095482,0.1119383276228134,0.0018353304020664,3.9746087319711095e-05,1.3876976309416874e-05,4.5695520903082244e-07,1.412211576995739e-06,2.694092203917772e-06,6.049604229911917e-06,4.137710991151669e-08,1.263758131279595e-07,3.0582028780420347e-06,0.000326879111991,2.6904930370053333e-06,0.001835803534372,6.456807802083668e-07,1.985418121372373e-06,1.2720106791006804e-05,2.146455033031476e-06,5.685970264430504e-07,1.3876939417686617e-06,5.829735531653652e-07
Altamaha_SW48_000107-3_p08,0.2021439509954058,397.4167460357419,8.414654452867467,-0.4485712978876227,0.065549878645352,0.2585858778917054,0.4964426324700032,1.225110750579466,0.0037211339316256,0.0148365085893814,-0.2882324377363462,68.51462392506383,0.5001637676211927,395.667537041258,0.1317347215583693,0.4234178528724867,2.758330361279211,0.4557124502091382,0.1198016877709208,0.3021459788773753,0.111277009498243,0.0017469583353094,3.604732526942311e-05,1.395765382373265e-05,5.210268356097129e-07,1.3102950799497044e-06,2.3958118641583594e-06,6.548524886535701e-06,5.2782157395267504e-08,1.4845818560091585e-07,4.037805528449849e-06,0.0003606953469343,2.3930808434830867e-06,0.0017472281303131,6.276165228870003e-07,2.038549642069233e-06,1.199227299375856e-05,2.1895948190590464e-06,7.308295322784243e-07,1.4811491185828334e-06,5.541826653614443e-07
Altamaha_SW48_000107-4_p08,0.2020098441345365,403.030073995101,8.550281054249947,-0.8002999674121521,0.0570229620187231,0.2594890800317072,0.5243027924139145,1.202381301942471,0.0033692882114081,0.0136733552403274,-0.2060624968105507,66.17278091332375,0.5276720809288005,401.2496784021389,0.1381229640235508,0.4208072619013247,2.8037967274165574,0.4537267936120053,0.1110733627975755,0.2971886239613019,0.1132340401893491,0.0016440517764336,3.5742556683155896e-05,1.2189946960531363e-05,4.0202246484853494e-07,1.293232740301476e-06,2.405466203391631e-06,5.46710148535198e-06,3.9873573199362925e-08,1.039620519969315e-07,2.7383170861684143e-06,0.000295803330451,2.4023223759162243e-06,0.001644419736186,5.692191423817577e-07,1.8048708781278316e-06,1.1374957986643644e-05,1.948262282555265e-06,5.428886227169908e-07,1.2729312175983955e-06,5.276167153232349e-07
