sample,MLBl,NeutralMass.mean,DBE.mean,DBEO.mean,AI.mean,AImod.mean,O_C.mean,H_C.mean,N_C.mean,P_C.mean,NOSC.mean,GFE.mean,PI.mean,nkm.mean,KD-CH2.mean,KD-CO2.mean,KD-H2.mean,KD-O2.mean,KD-H2O.mean,KD-CHO.mean,Ymet.mean,NeutralMass.se,DBE.se,DBEO.se,AI.se,AImod.se,O_C.se,H_C.se,N_C.se,P_C.se,NOSC.se,GFE.se,PI.se,nkm.se,KD-CH2.se,KD-CO2.se,KD-H2.se,KD-O2.se,KD-H2O.se,KD-CHO.se,Ymet.se
Altamaha_PP48_000107-2_p08,0.1886246122026887,403.6181651581566,8.69324881657874,-0.6274029436015683,0.0598004315557436,0.2669233296218454,0.518296479448088,1.1934933708975517,0.0034976895952961,0.0123849842666334,-0.2039955647077331,66.1138731315821,0.5217941644359838,401.8190772667653,0.1385235103329122,0.4213526980325866,2.8093837684866507,0.4540152570169723,0.114042526243075,0.2986989066936393,0.1123663119987796,0.0017075157867062,3.728370748886239e-05,1.2641082616827525e-05,4.201523256311029e-07,1.3380540123385406e-06,2.518584183820176e-06,5.57226978821961e-06,3.9869082649533694e-08,1.0920060546018001e-07,2.6919999429504296e-06,0.0003006048709392,2.515519438145369e-06,0.0017078087475913,5.87991564959379e-07,1.8408267975904012e-06,1.1836092128093064e-05,1.990748895799816e-06,5.114032483528344e-07,1.2835535738387993e-06,5.464928624470993e-07
Altamaha_PP48_000107-3_p08,0.1810239739943112,400.3661952989579,8.66934561178676,-0.3140574776397172,0.0671401152866736,0.2676405012183493,0.5001585856809967,1.2007564430120978,0.0046976419268415,0.013958666509208,-0.2509995456161955,67.45348671545761,0.50485622973797,398.5821135364239,0.137087689596913,0.4209855873546919,2.7873134812710108,0.4529048931329648,0.120593480067622,0.3011228681634808,0.1111272562316196,0.0016250461235665,3.5098949818110944e-05,1.2516068397299226e-05,4.610510584516536e-07,1.284165853914695e-06,2.3268011140166005e-06,5.54187009003108e-06,4.5774957779194655e-08,1.2267404619818396e-07,2.7061429868061366e-06,0.0003042145181076,2.3233144322954698e-06,0.0016253794159546,5.388272710680972e-07,1.7871355920824097e-06,1.1225138887100124e-05,1.930673441502309e-06,5.146029754398772e-07,1.2537900568702091e-06,5.238831754251556e-07
Altamaha_PP48_000107-4_p08,0.1776975531488167,405.8649894722603,8.791724950291146,-0.4732294901798676,0.0617355054342178,0.2696017981646122,0.5091360466982485,1.1923854357418469,0.0035762108306884,0.0121041434657405,-0.2188185070950966,66.53632705174135,0.5127122580227079,404.0510706608412,0.1398783833709836,0.4252132035971075,2.825993402316477,0.4576921230646598,0.1194513941189359,0.303249082341077,0.1104433922597078,0.0017083794089656,3.7210038326567056e-05,1.2011806933040478e-05,4.09263860409807e-07,1.3224342732447355e-06,2.455491363425356e-06,5.539472597510605e-06,3.7254628338998764e-08,1.0362784410951085e-07,2.4552755902512293e-06,0.0003009550885554,2.4526032404875788e-06,0.0017085630432855,5.687494026292014e-07,1.8531318657586457e-06,1.182490312453136e-05,2.003624874433823e-06,5.116306554495051e-07,1.2932382846424064e-06,5.341965793548492e-07
Altamaha_SW48_000107-2_p08,0.1831858407079646,405.4259218051242,8.711921410339915,-0.6577693864907102,0.058623452132232,0.2652287188116721,0.5195836505444809,1.1943065472417769,0.0033704872889271,0.0126564475700443,-0.2034012905745898,66.09693654591428,0.5229541379178686,403.67481612174834,0.1400973094123102,0.4230927824723518,2.822950057327128,0.4559075082363595,0.1144097986473809,0.2998833846095482,0.1119383276228134,0.0018353304020664,3.9746087319711095e-05,1.3876976309416874e-05,4.5695520903082244e-07,1.412211576995739e-06,2.694092203917772e-06,6.049604229911917e-06,4.137710991151669e-08,1.263758131279595e-07,3.0582028780420347e-06,0.000326879111991,2.6904930370053333e-06,0.001835803534372,6.456807802083668e-07,1.985418121372373e-06,1.2720106791006804e-05,2.146455033031476e-06,5.685970264430504e-07,1.3876939417686617e-06,5.829735531653652e-07
Altamaha_SW48_000107-3_p08,0.2021439509954058,397.4167460357419,8.414654452867467,-0.4485712978876227,0.065549878645352,0.2585858778917054,0.4964426324700032,1.225110750579466,0.0037211339316256,0.0148365085893814,-0.2882324377363462,68.51462392506383,0.5001637676211927,395.667537041258,0.1317347215583693,0.4234178528724867,2.758330361279211,0.4557124502091382,0.1198016877709208,0.3021459788773753,0.1112770094982429,0.0017469583353094,3.604732526942311e-05,1.395765382373265e-05,5.210268356097129e-07,1.3102950799497044e-06,2.3958118641583594e-06,6.548524886535701e-06,5.2782157395267504e-08,1.4845818560091585e-07,4.037805528449849e-06,0.0003606953469343,2.3930808434830867e-06,0.0017472281303131,6.276165228870003e-07,2.038549642069233e-06,1.199227299375856e-05,2.1895948190590464e-06,7.308295322784243e-07,1.4811491185828334e-06,5.541826653614443e-07
Altamaha_SW48_000107-4_p08,0.2017615731257681,403.01858368235935,8.549332641659774,-0.8021234594966622,0.0570036287534093,0.2594011019426587,0.5245013802003263,1.2023803977678091,0.0033802663035012,0.0136958922180862,-0.2057340740095341,66.16342085279605,0.5278816468072025,401.2387860964644,0.1381543099860605,0.4207551736144398,2.803756646338873,0.4536744027317838,0.1110475164191998,0.2971376715720655,0.1132758983714989,0.0016417715663751,3.569373440856372e-05,1.2171660670450393e-05,4.0143500330021066e-07,1.2914808501414738e-06,2.4018160188049912e-06,5.459288790209047e-06,3.9881103697440756e-08,1.0380941797562912e-07,2.734386832423504e-06,0.0002953955886163,2.3986704677788617e-06,0.0016421354474395,5.683837035308169e-07,1.802397359984368e-06,1.1359144428324346e-05,1.945585363109756e-06,5.421380725076879e-07,1.2712107940755623e-06,5.268162507763593e-07
