Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
207.066243494802,11,12,4,0,0,0,0,0,CHO,Lignin,208.073519961682,0.18701042602908,1,3919013.5,Altamaha_SW48_000107-3_p08,6.0,2.0,0.28571,0.44444,0.36364,1.09091,0.0,0.0,0.0,0.0,-0.36364,70.66364,0.36364,208.0,0.03727,0.24333,1.42128,0.26139,0.07307,0.17553,0.17203477074828497,C11H12O4,PUCs,Lignin-like,POCs
207.10266346827,12,16,3,0,0,0,0,0,CHO,Lignin,208.10993993515,0.0213577030011033,1,2059432.3,Altamaha_SW48_000107-3_p08,5.0,2.0,0.22222,0.33333,0.25,1.33333,0.0,0.0,0.0,0.0,-0.83333,84.05,0.25,208.0,0.00448,0.28514,1.3798,0.3032,0.11485,0.21733,0.14498763681093932,C12H16O3,PUCs,Lignin-like,Lipid
208.061487773278,10,11,4,1,0,0,0,0,CHON,Lignin,209.068764240158,0.208575115788243,1,1172206.1,Altamaha_SW48_000107-3_p08,6.0,2.0,0.2,0.42857,0.4,1.1,0.1,0.0,inf,0.0,0.0,60.3,0.5,209.0,0.04938,0.23256,1.43996,0.2507,0.06149,0.16444,0.20493017929394064,C10H11O4N,PUCs,Lignin-like,Not Matched
209.009185093019,9,6,6,0,0,0,0,0,CHO,ConHC,210.016461559899,-0.112537362627812,1,1295280.0,Altamaha_SW48_000107-3_p08,7.0,1.0,0.33333,0.66667,0.66667,0.66667,0.0,0.0,0.0,0.0,0.66667,41.3,0.66667,210.0,0.10743,0.17578,1.50428,0.194,0.00394,0.10735,0.2603271770514549,C9H6O6,PPAs,Polyphenol-like,POCs
209.045499067084,10,10,5,0,0,0,0,0,CHO,Lignin,210.052775533964,0.228026199464707,1,4422962.5,Altamaha_SW48_000107-3_p08,6.0,1.0,0.2,0.46667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,60.3,0.5,210.0,0.06568,0.21759,1.4628,0.23582,0.04571,0.14914,0.20301759563870225,C10H10O5,PUCs,Lignin-like,POCs
209.081888041105,11,14,4,0,0,0,0,0,CHO,Lignin,210.089164507985,0.211480753203043,1,3520821.0,Altamaha_SW48_000107-3_p08,5.0,1.0,0.14286,0.33333,0.36364,1.27273,0.0,0.0,0.0,0.0,-0.54545,75.84545,0.36364,210.0,0.02392,0.2594,1.42133,0.27763,0.08749,0.19094,0.16638816558868946,C11H14O4,PUCs,Lignin-like,POCs
211.024780668126,9,8,6,0,0,0,0,0,CHO,Tannin,212.032057135006,0.145517591533536,1,3593651.0,Altamaha_SW48_000107-3_p08,6.0,0.0,0.0,0.5,0.66667,0.88889,0.0,0.0,0.0,0.0,0.44444,47.63333,0.66667,212.0,0.09408,0.19185,1.50433,0.21024,0.01836,0.12276,0.24761151156869377,C9H8O6,PPAs,Polyphenol-like,POCs
211.06117464267,10,12,5,0,0,0,0,0,CHO,Lignin,212.06845110955,0.105560962402487,1,6309301.5,Altamaha_SW48_000107-3_p08,5.0,0.0,0.0,0.33333,0.5,1.2,0.0,0.0,0.0,0.0,-0.2,66.0,0.5,212.0,0.05233,0.23365,1.46285,0.25206,0.06013,0.16455,0.19580678542323898,C10H12O5,PUCs,Lignin-like,POCs
211.097566617226,11,16,4,0,0,0,0,0,CHO,Lignin,212.104843084106,0.0750472925818236,1,3197879.8,Altamaha_SW48_000107-3_p08,4.0,0.0,0.0,0.22222,0.36364,1.45455,0.0,0.0,0.0,0.0,-0.72727,81.02727,0.36364,212.0,0.01057,0.27546,1.42138,0.29387,0.10191,0.20635,0.1611004517272444,C11H16O4,PUCs,Lignin-like,Lipid
212.056360950325,9,11,5,1,0,0,0,0,CHON,Lignin,213.063637417205,0.399183997653304,1,1667698.5,Altamaha_SW48_000107-3_p08,5.0,0.0,0.0,0.27273,0.55556,1.22222,0.11111,0.0,inf,0.0,0.22222,53.96667,0.66667,213.0,0.06443,0.22288,1.48153,0.24137,0.04855,0.15346,0.23843380277963167,C9H11O5N,PUCs,Lignin-like,Not Matched
