Molecular formula,Altamaha_SW48_000107-4_p08
C14H8O6,1522354.6
C11H12O6S,2999475.8
C11H12O8,30230202.0
C15H12O5,2510526.8
C12H16O5S,3395264.0
C12H16O7,34490052.0
C16H16O4,1251530.9
C13H20O6,13801170.0
C14H24O5,2289374.0
C14H11O5N,1293578.5
C11H15O7N,1839889.5
C13H6O7,1663048.0
C10H10O7S,1730633.1
C10H10O9,2835279.0
C14H10O6,5132628.0
C11H14O6S,3159893.3
C11H14O8,25700700.0
C15H14O5,4556640.5
C12H18O5S,1216993.4
C12H18O7,14039399.0
C16H18O4,2160492.5
C13H22O6,4714867.5
C12H22O5N2,15704440.0
C14H26O5,1364864.0
C13H9O6N,2219171.3
C14H13O5N,1769135.4
C13H8O7,6275055.5
C10H12O7S,2595312.8
C10H12O9,3576822.8
C14H12O6,12305404.0
C11H16O6S,2047997.1
C13H12O5N2,1319039.8
C11H16O8,8278019.0
C15H16O5,9622536.0
C12H20O5S,1248521.4
C12H20O7,3177999.5
C16H20O4,2989076.5
C13H24O6,1248027.8
C17H24O3,1290784.9
C12H7O7N,1313089.1
C13H11O6N,3135309.5
C10H15O8N,1400404.6
C14H15O5N,1659481.8
C12H6O8,1551247.6
C13H10O7,12330652.0
C10H14O7S,2066077.3
C14H14O6,15668904.0
C13H14O5N2,1238956.3
C15H18O5,10677941.0
C16H22O4,3674817.3
C14H30O3S,4799183.0
C12H9O7N,1279471.4
C13H13O6N,2965499.8
C14H17O5N,1675016.1
C12H8O8,5663039.5
C13H12O7,18719052.0
C12H12O6N2,1316175.8
C14H16O6,20431192.0
C15H20O5,14350693.0
C13H28O4S,2595442.3
C12H11O7N,2196128.3
C13H15O6N,2785452.8
C12H10O6S,1292267.0
C12H10O8,12227569.0
C13H14O5S,1338615.5
C13H14O7,25330686.0
C12H14O6N2,1512705.5
C14H18O6,26694666.0
C15H22O5,11850775.0
C12H13O7N,3346258.5
C13H17O6N,2680670.8
C11H8O9,2087574.8
C12H12O6S,2041757.1
C12H12O8,26781348.0
C16H12O5,1774760.5
C13H16O5S,2458281.8
C13H16O7,42538672.0
C14H20O4S,1469878.1
C14H20O6,23840444.0
C15H24O5,5918408.5
C18H36O2,1720814.0
C11H11O8N,1658103.8
C12H15O7N,3624452.3
