molecular formula,Altamaha_SW48_000107-3_p08
C14H10O6,4921390.0
C11H14O6S,3277359.0
C13H10O5N2,1258673.3
C11H14O8,20595764.0
C15H14O5,4495416.5
C12H18O5S,1554233.8
C12H18O7,13749311.0
C16H18O4,2166339.5
C13H22O6,5787722.0
C14H26O5,1565012.8
C13H9O6N,1868631.5
C14H13O5N,1685602.4
C13H8O7,4249215.0
C10H12O7S,2535552.3
C10H12O9,1982085.5
C14H12O6,10329738.0
C11H16O6S,2489483.0
C11H16O8,5942928.5
C15H16O5,8484501.0
C12H20O7,2711707.5
C16H20O4,2945184.0
C13H24O6,1514150.4
C13H11O6N,2827190.3
C14H15O5N,1232833.3
C11H19O7N,1299655.6
C13H10O7,10406112.0
C10H14O7S,1920225.1
C14H14O6,14567659.0
C15H18O5,11464950.0
C16H22O4,5174529.0
C14H30O3S,2276109.3
C13H13O6N,2630169.3
C14H17O5N,1596964.4
C12H8O8,3834169.8
C13H12O5S,1498175.5
C13H12O7,14519109.0
C10H16O7S,1707589.9
C14H16O6,18856784.0
C13H16O5N2,1392467.4
C15H20O5,14789467.0
C16H24O4,1597542.1
C13H28O4S,1276519.1
C12H11O7N,2287732.5
C13H15O6N,2207871.5
C12H10O4S2,1479062.1
C12H10O8,8713633.0
C13H14O5S,1333158.8
C13H14O7,21708204.0
C14H18O6,24886712.0
C15H22O5,11488706.0
C12H13O7N,2437340.5
C13H17O6N,2020071.8
C11H8O9,1623550.6
C12H12O6S,1605124.4
C12H12O8,20615178.0
C16H12O5,1372942.4
C13H16O5S,2978319.5
C13H16O7,35131412.0
C12H16O6N2,1338136.4
C14H20O4S,1293594.5
C14H20O6,21635104.0
C15H24O3S,1650725.8
C15H24O5,4957227.0
C16H28O4,1514038.3
C18H36O2,2866764.5
C11H11O8N,1457466.4
C12H15O7N,2863941.5
C13H19O6N,1753168.6
C11H10O7S,1741154.1
C11H10O9,5978727.5
C15H10O6,2919020.3
C12H14O6S,2746989.3
C12H14O8,36000372.0
C16H14O5,2579063.3
C13H18O5S,8829560.0
C13H18O7,30995070.0
C17H18O4,1830530.5
C14H22O6,10353289.0
C15H26O5,2678420.0
C16H30O4,2812063.3
C11H13O8N,1957283.0
C12H17O7N,1633454.1
C13H21O6N,1338809.3
C14H25O5N,1256644.4
C14H8O7,2504905.3
C11H12O7S,2941130.3
C11H12O9,12688592.0
C15H12O6,6086868.5
C12H16O6S,3948757.5
C12H16O8,26576090.0
C16H16O5,4189407.5
C13H20O5S,1587936.5
C13H20O7,12868838.0
C17H20O4,1977066.6
C14H24O6,3549937.0
C15H28O5,1641980.3
C14H11O6N,2116612.5
