molecular formula,Altamaha_PP48_000107-3_p08
C14H9O5N,1225430.5
C11H13O7N,4228318.0
C12H17O6N,2640619.0
C14H8O6,1711668.1
C11H12O6S,2860085.3
C11H12O8,24287292.0
C15H12O5,3514433.0
C12H16O5S,3892802.3
C12H16O7,42805320.0
C11H16O6N2,1258060.6
C16H16O4,1790030.1
C13H20O6,17117270.0
C14H24O5,1388770.5
C12H7O5N3,1345434.5
C14H11O5N,1723555.4
C11H15O7N,2614699.0
C12H19O6N,1631671.9
C10H10O7S,2638582.3
C10H10O9,2158076.5
C14H10O6,6257410.0
C11H14O6S,4072707.3
C11H14O8,19979018.0
C15H14O5,5663503.0
C12H18O5S,1748240.1
C12H18O7,15250198.0
C16H18O4,2902812.0
C13H22O6,3862819.5
C13H9O6N,2155108.8
C14H13O5N,2531953.5
C13H8O7,3878851.3
C10H12O7S,2556356.3
C10H12O9,2201290.8
C14H12O6,13786576.0
C11H16O6S,3279825.3
C13H12O5N2,2081236.1
C11H16O8,5776855.5
C15H16O5,11333085.0
C12H20O5S,1359326.3
C14H16O4N2,1250785.0
C12H20O7,2170596.5
C16H20O4,3922410.0
C17H24O3,1443830.9
C13H11O6N,4567858.0
C14H15O5N,2438463.0
C13H10O5S,1395081.1
C13H10O7,12107919.0
C10H14O7S,2526608.8
C12H10O6N2,1815443.4
C14H14O6,19316892.0
C11H18O6S,1925533.5
C13H14O5N2,1633440.3
C15H18O5,15749289.0
C16H22O4,4018870.0
C12H9O7N,2011887.6
C13H13O6N,3958780.5
C14H17O5N,2647049.5
C12H8O6S,1384260.6
C12H8O8,2704202.8
C13H12O5S,1617233.4
C13H12O7,20796248.0
C10H16O7S,2009432.9
C12H12O6N2,2645851.5
C14H16O6,28210020.0
C11H20O6S,1471845.6
C13H16O5N2,1851240.4
C15H20O5,19546994.0
C16H24O4,1671550.1
C12H11O7N,4123317.3
C13H15O6N,4374722.0
C14H19O5N,1599182.6
C12H10O6S,1817094.9
C12H10O8,9741837.0
C13H14O5S,1445651.6
C13H14O7,33187354.0
C12H14O6N2,2462749.8
C14H18O6,38843944.0
C15H22O5,15492659.0
C12H13O7N,5531507.5
C13H17O6N,3865472.0
C11H8O9,1586362.5
C12H12O6S,2878145.0
C12H12O8,27134152.0
C16H12O5,2366156.3
C13H16O5S,2771149.5
C13H16O7,56670420.0
C12H16O6N2,1827543.4
C14H20O6,33413344.0
C15H24O5,6622444.5
C18H36O2,1601810.0
C11H11O6NS,1377301.9
C11H11O8N,2097692.0
C15H11O5N,1466401.1
C12H15O7N,5426728.5
C13H19O6N,2106676.8
C11H10O7S,2613604.3
C11H10O9,6066026.5
C15H10O6,4188527.5
C12H14O6S,4257136.5
C12H14O8,51870584.0
C11H14O7N2,1943674.4
C16H14O5,3895163.8
C13H18O5S,2969468.8
C13H18O7,50461572.0
C12H18O6N2,1405830.6
C17H18O4,2983304.0
C14H22O6,14216079.0
C15H26O5,1873819.5
C14H9O6N,1722302.5
C11H13O8N,2340037.5
C15H13O5N,2397386.8
C12H17O7N,3244753.8
C14H8O7,2795526.8
C11H12O7S,4053512.0
C11H12O9,12649998.0
C15H12O6,8082963.0
C12H16O6S,4620820.0
C14H12O5N2,1447958.6
C12H16O8,32820762.0
C16H16O5,6027807.0
C13H20O7,16377382.0
C17H20O4,2978859.0
C14H24O6,2750002.0
C14H11O6N,2581852.0
C11H15O8N,1637474.9
C15H15O5N,1950055.9
C12H19O7N,1578350.8
C10H10O8S,1725331.8
C14H10O7,9834654.0
C11H14O7S,3366047.5
C13H10O6N2,1784994.1
C11H14O9,6651045.5
C15H14O6,13936810.0
C12H18O6S,3051179.5
C14H14O5N2,2372782.0
C12H18O8,7707825.5
C16H18O5,9263286.0
C13H22O7,2169533.0
C17H22O4,3006146.0
C13H9O7N,2963938.0
C14H13O6N,4534766.0
C11H17O8N,1902068.8
C15H17O5N,2091513.6
C13H8O6S,1279513.9
C13H8O8,4986655.5
C10H12O8S,1739808.6
C11H16O5S2,1331494.5
C14H12O7,21037868.0
C11H16O7S,3344172.3
C13H12O6N2,2985774.8
C11H16O9,1388594.0
C15H16O6,23950134.0
C12H20O6S,2114872.0
C14H16O5N2,2252858.5
C12H20O8,1779261.8
C16H20O5,12778307.0
C17H24O4,2851150.3
C13H11O7N,4133993.8
C14H15O6N,4637813.5
C11H19O8N,1673852.3
C15H19O5N,1592705.1
C13H10O6S,1694877.0
C13H10O8,11664803.0
C10H14O8S,1445539.8
C14H14O5S,1314984.5
C14H14O7,28767662.0
C11H18O7S,2163631.3
C13H14O6N2,3082673.8
C15H18O6,34620856.0
C14H18O5N2,1470909.3
C16H22O5,10794437.0
C17H26O4,151315920.0
C12H9O8N,1744860.9
C13H13O7N,5347048.5
C14H17O6N,3848947.8
C11H4O6S2,1510139.0
C12H8O9,1556753.5
C13H12O6S,2457623.3
C20H8O3,1504539.1
C13H12O8,24868892.0
C12H12O7N2,2271776.5
C14H16O5S,1575714.6
C14H16O7,46352424.0
C13H16O6N2,2742827.8
C15H20O6,42543156.0
C16H24O5,5748799.0
C12H11O8N,3504467.3
C13H15O7N,6311262.5
C14H19O6N,2806633.8
C12H10O7S,2223230.8
C12H10O9,6881924.0
C13H14O6S,2729098.0
C13H14O8,44444304.0
C12H14O7N2,1725586.9
C17H14O5,1601428.1
C14H18O5S,2330773.3
C14H18O7,58641052.0
C13H18O6N2,2064542.1
C18H18O4,1294239.4
C15H22O6,25492134.0
C16H26O3S,11082412.0
C16H26O5,3024561.3
C12H13O8N,4651970.0
C13H17O7N,4763597.5
C14H21O6N,1414872.6
C17H21O2N3,2348000.8
C15H8O7,1819369.6
C12H12O7S,2992362.8
C12H12O9,21613808.0
C16H12O6,3880692.8
C13H16O6S,3199221.8
C13H16O8,61762812.0
C12H16O7N2,1298942.8
C17H16O5,2528512.0
C14H20O5S,1590528.9
C14H20O7,39365896.0
C15H24O6,9098514.0
C15H11O6N,2635300.8
