Trans name,Altamaha_PP48_000107-4_p08
H2,932
hydrogenation/dehydrogenation,928
C_1H_2O1,786
CH6O_1,735
H4,735
C_1O1,654
H_2C1,577
H_2O1,566
H6,557
C_1H2O,551
C2H_2O_1,537
CH_4,499
H_4O1,495
C1,493
O1,454
C_1H4O,447
H_6O1,430
C2O_1,425
methanol (-H2O),420
C_1H_4O2,417
C_1H_2O2,417
C_2H_2O2,413
H8,398
CH2,397
C_1H_6O2,389
C_2O2,382
C2H2O_1,351
hydroxylation (-H),338
C_2H2O2,329
H2O,326
C_1O2,316
C1H4,304
C2H4O_1,283
condensation/dehydration,277
C3H2O_2,271
C3H4O_2,247
C2H6O_1,244
H4O,244
C_1H2O2,232
CH6,223
Formic Acid_(_H2O)_CO,217
C_3H_2O3,215
H_2C1O1,213
H_4O2,206
H_2O2,204
CH_4O,202
ethyl addition (-H2O),200
Formic Acid (-H2O),197
C1H2O1,195
C2,194
ethyl addition_(_H2O)_C2H4,193
H10,193
C2H2,191
C2H_2,186
C2H8O_1,179
C_1H4O2,173
O2,173
C1H4O1,164
H2O2,158
C2H_2O2,152
C3O_1,151
C3H2O_1,150
C3H4O_1,139
C3H6O_1,137
C1H6O1,133
C1H_2O2,131
acetylation_(_H2O)_C2H2O,126
acetylation (-H2O),126
C3H2,125
H4O2,124
C_1O3,124
CH_4O2,124
C3H4,124
C2O1,121
C2H4O1,119
H_2O3,117
Carboxylation_CO2,117
C2H_2O,113
C2H8,112
C3H6,111
C1H2O2,108
C1H4O2,106
C4H6O1,105
C3,104
C3H4O1,104
C2H6O1,103
O3,102
glyoxylate_(_H2O)_C2O2,101
C3H8,96
Carboxylation,95
C4H4O_1,95
C3H6O1,94
C2H2O2,93
C3H4O2,93
C2H8O,92
C2H4O2,91
C3H2O2,91
O2H6,90
glyoxylate (-H2O),88
#N/A-3,87
C5H6O1,83
C4H6O_1,82
C4H4O1,81
C4H4,81
CH_2O3,81
C3H2O1,80
C3H6O2,80
C4H2O_1,78
C4H2,77
acetotacetate (-H2O),77
C2O3,76
acetotacetate_(_H2O)_C4H4O2,76
C4H2O2,75
C4H8O_1,75
C4H6O2,72
C3H4O3,72
C4H8O1,71
C2H4O3,70
C5H8O1,70
C5H8,68
C8H12O7,67
erythose (-H2O),65
C5H6O3,64
C4H4O3,64
C3H6O3,64
C4H2O3,63
C5H8O_1,62
C4,62
C5H8O2,62
C5H4O1,62
C4H6,61
C5H6O2,61
malonyl group (-H2O),61
C5H4O3,60
C5H10O2,60
C4H12O_1,60
O4,59
C5H4O2,58
C4O3,58
C4H6O4,58
C6H10O2,57
C6H10O1,56
C4H4O4,55
C4H8O3,55
C4H2O4,55
C5H8O3,54
CH2O4,54
C5H4O4,54
C5H4,54
C5H10O1,53
H2O4,53
C6H6O2,53
C12H16O4,52
C6H6O3,52
C6H8,51
C6H8O3,51
C6H10O3,50
C3H4O4,50
C2H2O3,49
C6H8O,49
C5H2O2,48
C5H6O4,48
C6H4O2,48
C6H8O4,48
pentose_C5H8O4,47
C8H8O3,46
C6H4O4,46
C3O3,45
C6H4O1,45
C7H8O4,45
C6H4,44
C7H8O1,44
C4H4O5,43
C7H10O3,43
C7H6O3,43
C7H4O4,42
C11H10O4,42
C7H10O4,42
C3H2O5,42
C7H10O1,42
C6H6O5,41
C6H14O1,41
C7H12O3,41
C10H8O4,40
C8H6O2,40
C6H14O_1,40
C7H6O2,40
C11H8O4,39
C8H8O2,39
C6H14,38
C7H4O2,38
C8H12,38
C5O5H8,37
C15H22O2,37
C9H12O1,37
C9H6O5,37
#N/A-2,37
C4H8,36
C4H8O2,36
C5H10O4,36
C6H10O4,36
C7H8,35
C9H10O3,35
C7H10O5,35
C6H8O5,34
C8H8,34
D-Ribose (-H2O) (ribosylation),34
C7H4O6,34
C9H14O1,33
C10H12O3,33
C6H6O6,33
C13H16O3,33
C8H10O1,33
C7H4O1,33
C4H8O5,33
C8H8O1,33
C9H6O3,33
C10H18O4,32
C7H12O4,32
C8H6O3,32
C2H6O3,32
C6H12O4,32
C10H10O2,31
C8H6O1,31
C9H10O2,31
C6H8O6,31
C8H4O3,31
C1H4O3,30
C10H4O5,30
C10H8O3,30
C8H14O4,30
C11H12O3,30
C5H10O5,30
C10H6O2,29
Glucuronic Acid (-H2O),29
C6O2,29
C8H16,29
C6H10O5,29
C10H14O1,29
C1H2O3,28
C8H14O6,28
C12H10O4,28
C10H12O2,28
C9H8O2,28
C8H14O1,28
C10H14O3,27
CO3,27
C5H6,27
C7H12O5,27
C9H8O1,27
C7H6,26
C10H18O1,26
H16,26
C10H14O2,26
C10H16O1,26
C6H10O6,25
C9H16O3,25
C7H12O6,25
C2H6O2,25
C2O7,24
C8H4O2,24
H2O3,24
C7H4,24
C10H12O1,24
C12H20O3,24
C2H6O4,23
C12H16O2,23
C10H16,23
C9H10,22
C6H6O8,22
C3H8O1,22
C8H10O_2,22
C6H12O5,21
C4O,21
C2H2O4,21
C9H6O1,20
C11H8O3,20
C3O,19
C10H10O1,19
C10H8O1,19
C9H6O2,19
C11H10,19
C12H8O3,19
glucose_C6H12O6,19
C2H4O4,18
CH6O2,18
C10H6O1,18
C6H12O7,18
C2H_6O7,18
C10H12,18
C12H12O2,17
C14H20O2,17
C12H20,16
C4O8,16
malonyl_group_(_H2O)_C3H2O3,16
CH4_O,16
C5H2O,16
C4H2O,15
C14H26O2,15
C11H6O3,15
C3O2,14
H_1Cl1O_1,14
C4H10O,14
C11H6O1,13
H_3Cl1,13
H_1O_2Cl1,12
CH_4O3,11
C13H10O3,11
C12H22O1,10
C4O2,10
C1H1N1O_1,10
H1O1N_1,10
C6H8O2,10
C4H7N1O1,10
C3H8O4,10
C5H5N_1O1,10
C3H7O1N1,9
palmitoylation (-H2O),9
C1H3Cl1,9
C2H1O1Cl1,9
C4H7O3N1,9
C12H24O2,9
C3H3N_1O4,8
C5H7N_1,8
H4O3,8
C13H20O_1,8
C_1H_1N1,8
Glutamic_Acid_C5H7NO3,8
H_1N1O2,8
O_1S1,8
C12_C13,7
C14H22,7
C2H2O2S_1,7
C2H5N,7
C3H6O4,7
C2H7O1N1,7
C4H9N1O_2,7
H5O_1N1,7
C10H10,7
Aspartic_Acid_C4H5NO3,7
C2H5N1,7
#N/A-1,7
CH5NO_1,7
C3H3N1O_1,7
C2H5N1O1,7
C3H3O3N1,7
C3H3N1O1,7
C15H28O1,7
C2H3N1O2,7
C3H8O3,7
H_1O2N_1,7
C15H22O1,6
C16H32O1,6
C3H3N1O2,6
C1H_1N1,6
C_1H_5N_1O2,6
H2O_1S1,6
C11H12O6,6
H_1Cl1,6
C1H3N1O2,6
C3H1N1O_1,6
C5H3Cl1O_2,6
secondary amine,6
H1N1,6
C2H3N1O_2,6
C2H3NO_1,6
Alanine,6
Glutamic Acid,6
H_1N1,6
C3H7N1O_1,6
2ndIP,5
CH3N,5
H2S,5
C3H3N,5
H_1O1N_1,5
C1H3N1O_1,5
C12H20O5,5
C2H3N_1O2,5
C6H9N1O4,5
NH_CH2,5
C2H7N1O_1,5
C6H7N1O4,5
C7H7Cl1,5
C1H5N1,5
C4H8O4,5
C2H5N1O2,5
Aspartic Acid,5
C5H2O3,5
C1H1N1,5
C3H5N1O_1,5
H_1N1O1,5
H3O_1N1,5
C7H9N1,5
C2H1N1O2,5
N1H_3,5
Glycine,5
Alanine_C3H5NO,5
C14H8O2,5
H3N_1O1,5
H5N1,5
H1Cl1,5
C14H26O1,5
C1H1O1N1,5
C4H3N1,5
H1O2N_1,5
C5H9N1O3,4
C5H7N1O4,4
H3N1,4
C5H5O3N1,4
C2H5O_1N1,4
CH3NO,4
H2O3S1,4
C6H4O3,4
C3H7N1,4
C14H14O6,4
C15H26O1,4
Isoleucine,4
Proline,4
C5H5N1O1,4
Proline_C5H7NO,4
sulfate (-H2O),4
O2S1,4
C4H11N1O2,4
C1H_1N1O_1,4
C9H7N1O3,4
C5H7N1O2,4
C2H3Cl_1O2S1,4
O1S1,4
C6H3N1O2,4
C1H4S1,4
Isoleucine_C6H11NO,4
CH_1N_1O,4
C6H11N1O4,4
Glycine_C2H3NO,4
C6H9N1O3,4
C13H10O1,3
C2HN_1O,3
Threonine,3
Serine,3
C15H24,3
C7H11O3N1,3
H_2S1,3
C7H5N1O3,3
CHN_1O,3
C15H18O3,3
C_1H1N_1S1,3
C12H20O9,3
H1N1O1,3
C5H9N1,3
C5H7N1,3
C6H9O2N1,3
C6H11N1O2,3
C6H5Cl1,3
C4H3O2N1,3
C2H6S1,3
H_2S1C1,3
C2H3N,3
C7H3N1O2,3
C2H4N2,3
H1O2N1,3
C3H7N1O2,3
C6H5N1,3
C7H8O3,3
C4H5N1O_1,3
C4H5N1O2,3
C7H5N1O1,3
C5H3N1O1,3
S1,3
Threonine_C4H7NO2,3
C6H7N1,3
C6H10O3S1,2
O3S1,2
C8H15N1O3,2
H5O1N_1,2
C4H4O4S_1,2
C5H9N1O2,2
C18H26,2
C5H5N1,2
C8H5N1,2
C7H13N1O4,2
C7H4O4S1,2
SO42-,2
C8H11N1O6,2
C9H15N1O4,2
C9H7N1O4,2
C5H13O_1N1,2
C4H6O1S1,2
H3O2P1,2
C7H7O_1N1,2
C8H13N1O4,2
C5H3O2N1,2
C6H5N1O_1,2
C1H4O1S1,2
C4H9O1N1,2
C6H3N1O1,2
C6H5N1O1,2
C7H1N_1O1,2
C16H28,2
C4H5N1,2
diphosphate_H3O6P2,2
C5H3Cl1O2,2
CHN_1O2,2
C8H15N1O1,2
C18H30O7,2
C4H4N1P_1,2
C15H16O7,2
C7H5N1O2,2
adenine_(_H)_C5H4N5,2
C7H1N1O3,2
C8H5N1O2,2
C17H18O5,2
C11H18O9,2
C8H7N1O2,2
H6N2O_1,2
C12H20O8,2
C8H15N1O2,2
C2H7N1,2
C15H24O3,2
C10H7N1O1,2
C8H13O2N1,2
H_1O3S1,1
C4H9N1,1
C18H22O1,1
C6H9O2P_1,1
C18H12O6,1
C16H28O8,1
C15H16O8,1
C17H16O2,1
C10H12N5O3,1
C10H11N3S1,1
C4H7N1,1
Glutamine,1
C10H16O8,1
C18H24O1,1
C19H26O1,1
C18H24,1
C6H3N1,1
H1O3S1,1
C4H11O2Cl2N2P1,1
C5H3N1,1
C18H34O1,1
C16H24O2,1
C16H12O5,1
C18H26O_1,1
C15H8O6,1
H2N_1O4P1,1
C19H28O1,1
C10H15O6N1,1
C1H3O6P1,1
Tyrosine,1
C3H4N2O3,1
C8H7N1,1
C2H2O4S1,1
C5H1N1O3,1
C2H6N1O3P1,1
C8H13N1,1
C2H5O4P1,1
C6H6N1O2,1
H2N1,1
O_1H4N2,1
C5H6N2O2,1
C3H_1N1O_2,1
Glutamine_C5H8N2O2,1
C5H13N1O2P1,1
C1H2N2,1
C9H11N1O1,1
C1H2O_1N2,1
H7O6P1,1
C_1H1O1P1,1
C4H9O3P1,1
C7H12O1S1,1
C1H4O_1S1,1
C7H13N1O2,1
C10H10N2O_1,1
H_1O_3Cl3,1
C1H2N2O1,1
C10H11N5,1
C4H10O5P1,1
adenine (-H),1
C9H9N1O4,1
diphosphate,1
primary amine,1
C5H11N1O1,1
disaccharide (-H2O),1
C10H7N1O3,1
glucose-N-Phosphate (-H2O),1
H2O2S1,1
C7H13N3O3,1
C6H1N1O1,1
C8H9N1O_1,1
C6H11O_1N1,1
H1O4S_1P1,1
C10H15O2N1,1
C9H9N1O3,1
H_2N_2O2,1
C6H7O1N1,1
H_3N_3O3,1
C1H4N2O1,1
C5H6O1N2,1
C13H16O2P_2S_1,1
C4H6N1O_2P_1,1
C17H22O9,1
