Trans name,Altamaha_SW48_000107-3_p08
H2,1000
C_1H_2O1,854
CH6O_1,766
H4,762
C_1O1,718
H_2C1,615
C_1H2O,587
H_2O1,586
H6,581
C1,581
C2H_2O_1,572
CH_4,536
H_4O1,523
O1,516
C2O_1,496
C_1H4O,466
CH2,459
H_6O1,445
C_1H_2O2,441
H8,435
C_1H_4O2,431
C_2H_2O2,425
C2H2O_1,401
C_2O2,390
C_1H_6O2,388
C_1O2,387
H2O,367
C1H4,337
C_2H2O2,335
C2H4O_1,330
C3H2O_2,298
C2H6O_1,274
C3H4O_2,270
C_1H2O2,256
H4O,255
H_2C1O1,249
Formic Acid_(_H2O)_CO,241
H_4O2,240
H_2O2,240
CH6,239
CH_4O,231
C1H2O1,228
C2H2,226
C_3H_2O3,224
C2,223
ethyl addition_(_H2O)_C2H4,216
C2H_2,208
H10,207
O2,204
C2H8O_1,188
C_1H4O2,180
C1H4O1,179
C3H2O_1,177
C2H_2O2,176
C3H4O_1,174
C3O_1,172
acetylation_(_H2O)_C2H2O,166
H2O2,164
C3H6O_1,161
C1H_2O2,154
C2O1,153
Carboxylation_CO2,149
C3H4,146
C3H6,145
C2H_2O,144
C2H4O1,142
C3H2,142
C_1O3,140
CH_4O2,138
C1H2O2,135
C1H6O1,130
C2H8,130
H4O2,130
C2H6O1,129
glyoxylate_(_H2O)_C2O2,124
C3,124
H_2O3,122
C3H4O1,121
C3H8,117
C3H2O1,117
C2H2O2,117
O3,108
C4H6O1,107
C4H4O_1,107
C4H6O_1,107
C3H6O1,106
C4H4,105
C1H4O2,105
C4H2O_1,104
C2H4O2,103
C3H4O2,102
C4H8O_1,100
C4H4O1,99
C2H8O,98
O2H6,97
C3H2O2,97
C4H2,92
C3H6O2,91
C4H6,87
C4,86
#N/A-3,86
C4H2O2,85
acetotacetate (-H2O),85
C4H6O2,84
C11H12O6,84
C5H8O_1,83
C2O3,80
C4H8O1,80
C2H4O3,77
C5H8,76
C5H4,76
C5H8O1,74
C5H4O1,72
C4H4O3,72
C5H4O2,72
C5H8O2,71
C5H6O2,71
C4H2O3,69
malonyl group (-H2O),69
C6H8O,68
C4H12O_1,68
O4,67
C3H6O3,67
erythose (-H2O),66
C5H2O2,64
C6H8,64
CH_2O3,64
C3H4O3,63
C6H10O1,62
C3O3,62
C5H10O1,62
H2O4,61
C4O3,58
C7H8O1,57
C6H6O3,57
C3H4O4,56
C6H4O1,56
C4H2O4,56
CH2O4,56
C12H20O5,56
C7H10O3,54
C5H4O3,53
C6H10O3,51
C6H4,50
C7H8,50
C6H4O4,50
C7H6O3,49
C4H4O4,49
hydroxylation (-H),49
C5H10O2,49
C6H8O3,49
C6H6O2,48
C4H8O3,47
C7H6,47
C5H6O3,47
C4H8O2,47
C5H8O3,47
C6H8O4,46
C6H10O2,46
C7H6O2,45
C7H8O4,45
C5H4O4,45
C2H2O3,45
C6H14,44
C6H14O_1,44
C7H4,44
Carboxylation,44
#N/A-2,43
C15H18O3,43
C6H10O4,43
C4H4O5,43
C7H10O1,42
C6H4O2,42
C7H10O4,42
C7H12O3,41
C7H4O6,41
C8H12,41
C7H10O5,41
glyoxylate (-H2O),41
C7H4O2,41
pentose_C5H8O4,40
C7H12O4,40
C9H12O1,40
C5H6O4,40
C12H16O4,40
C6H14O1,40
C6H6O5,40
C8H14O4,40
C7H4O4,39
C8H8O2,39
C4H6O4,39
C2H6O3,39
C7H4O1,39
C6H6O6,38
C5H10O4,38
C8H6O3,38
C8H10O1,38
C10H12O3,38
Formic Acid (-H2O),38
C3H2O5,38
C8H8O3,38
C8H14O1,37
C5H6,37
C10H14O2,37
C7H12O5,36
C6O2,36
C8H16,36
CO3,35
C9H10O2,35
C9H6O5,35
C4H8O5,35
C6H8O6,34
C6H10O5,34
C9H6O3,34
C2H6O4,34
C8H8,34
C10H14O3,34
C9H10O3,33
C8H6O2,33
C8H8O1,33
C9H14O1,33
methanol (-H2O),33
C9H6O2,33
C6H8O5,33
C5O5H8,33
C9H8O1,32
C16H24O2,32
C8H12O8,32
C10H12O2,32
C2H6O2,32
H2O3,31
C8H10O_2,31
C4H8,31
C9H8O2,31
C1H4O3,31
C7H12O6,31
C8H12O7,30
C5H10O5,30
C15H24O3,30
C8H4O3,30
C8H14O6,30
C11H12O3,29
C11H10O4,29
C1H2O3,29
C8H4O2,29
C9H16O3,29
C8H6O1,28
C2H2O4,28
C5H6O1,28
condensation/dehydration,28
C10H10O2,28
C12H10O4,27
C10H16O1,27
C6H12O5,27
C10H14O1,27
C6H12O4,27
C10H8O4,26
C2H4O4,26
C6H6O8,26
H16,25
acetylation (-H2O),25
C10H12O1,25
Glucuronic Acid (-H2O),25
C9H6O1,24
C10H18O4,24
C13H16O3,24
C10H10,24
C10H4O5,24
C11H8O4,24
C10H8O3,24
C10H12,24
D-Ribose (-H2O) (ribosylation),23
glucose_C6H12O6,23
C12H16O2,23
C10H8O1,22
C12H20O3,22
C6H10O6,22
C9H10,21
C10H16,21
C2O7,21
C10H10O1,21
acetotacetate_(_H2O)_C4H4O2,20
H_1O_2Cl1,20
C10H6O1,20
C10H18O1,20
C3O,20
ethyl addition (-H2O),19
CH4_O,19
C4O,19
C6H12O7,18
C4O8,18
C12_C13,18
C11H8O3,18
C13H10O3,18
CH_4O3,18
C2H_6O7,17
C14H20O2,16
C15H22O2,16
C10H6O2,15
C12H12O2,15
C12H22O1,15
C12H20,15
C12H8O3,15
C3O2,15
C4H2O,15
H_1Cl1,15
C4H10O,15
C3H8O1,15
C11H10,14
H_3Cl1,14
C12H24O2,13
H_1Cl1O_1,13
C4O2,13
CH6O2,13
H_2S1,11
C5H3Cl1O_2,11
C14H26O2,11
C14H22,10
C5H2O,10
C13H10O1,10
C15H22O1,10
malonyl_group_(_H2O)_C3H2O3,10
C11H6O3,10
C1H1N1,9
C_1H_5N_1O2,9
C2H1O1Cl1,9
CH3NO,9
C1H5N1,8
C3H6O4,8
C1H1N1O_1,8
H3N1,8
C15H26O1,8
H4O3,8
C2H1N1O2,8
C14H26O1,8
H1N1O1,8
H_1N1O2,8
C2H3N1O2,8
H1O2N1,8
C1H3N1O_1,7
CHN_1O2,7
C2H7N1,7
secondary amine,7
C6H8O2,7
H_1N1O1,7
H1O1N_1,7
C3H8O3,7
C15H28O1,7
C13H20O_1,7
C17H16O2,7
C2H5N1,7
C1H1O1N1,7
C3H3N,7
Glycine_C2H3NO,7
H5O_1N1,7
C3H3O3N1,7
C2HN_1O,6
C2H3N,6
C18H24O1,6
CH_1N_1O,6
C18H22O1,6
H3O_1N1,6
C2H2O2S_1,6
C3H8O4,6
C2H7N1O_1,6
C3H3N1O2,6
CH3N,6
H1N1,6
H5N1,6
Threonine_C4H7NO2,6
S1,6
C3H7N1,6
C15H24,5
