sample,Mass_x,Mass_y,Dist,Dist_plus,Dist_minus,Trans_name
Altamaha_PP48_000107-4_p08,203.056031824504,201.076767123912,1.9792647005920116,1.9792657005920116,1.9792637005920117,C_1H_2O1
Altamaha_PP48_000107-4_p08,207.029820323715,205.014169587467,2.0156507362480056,2.0156517362480058,2.0156497362480055,H2
Altamaha_PP48_000107-4_p08,211.097501874526,201.076767123912,10.020734750613997,10.020735750613996,10.020733750613998,C2H2O_1
Altamaha_PP48_000107-4_p08,211.097501874526,203.056031824504,8.041470050021985,8.041471050021984,8.041469050021986,C3H4O_2
Altamaha_PP48_000107-4_p08,215.056057695656,207.066227283189,7.9898304124670005,7.989831412467001,7.989829412467,C_2O2
Altamaha_PP48_000107-4_p08,215.0924706579,213.040435805002,2.0520348528980037,2.052035852898004,2.0520338528980036,CH6O_1
Altamaha_PP48_000107-4_p08,217.050607645747,215.071341679806,1.9792659659409821,1.979266965940982,1.9792649659409822,C_1H_2O1
Altamaha_PP48_000107-4_p08,223.06117169015,213.040435805002,10.020735885147985,10.020736885147985,10.020734885147986,C2H2O_1
Altamaha_PP48_000107-4_p08,223.06117169015,215.071341679806,7.989830010343979,7.98983101034398,7.989829010343979,C_2O2
Altamaha_PP48_000107-4_p08,223.06117169015,217.050607645747,6.010564044402997,6.010565044402997,6.010563044402997,C_1H2O
Altamaha_PP48_000107-4_p08,225.113178732099,207.102614242697,18.010564489401986,18.010565489401987,18.010563489401985,H2O
Altamaha_PP48_000107-4_p08,227.038295929431,203.038295844937,24.00000008449399,24.00000108449399,23.99999908449399,C2
Altamaha_PP48_000107-4_p08,227.056087912925,217.050607645747,10.005480267178001,10.005481267178,10.005479267178002,C_2H2O2
Altamaha_PP48_000107-4_p08,227.056087912925,225.004052835276,2.0520350776489806,2.0520360776489808,2.0520340776489805,CH6O_1
Altamaha_PP48_000107-4_p08,229.071752061069,223.024801725197,6.046950335871998,6.046951335871998,6.0469493358719975,H6
Altamaha_PP48_000107-4_p08,230.07510815261,229.071752061069,1.0033560915410078,1.0033570915410077,1.0033550915410079,C12_C13
Altamaha_PP48_000107-4_p08,233.081973482836,231.066324263809,2.015649219026983,2.015650219026983,2.015648219026983,H2
Altamaha_PP48_000107-4_p08,233.118328451037,227.12889284541,5.989435605626994,5.989436605626994,5.989434605626994,C2H_2O_1
Altamaha_PP48_000107-4_p08,235.133977705841,227.12889284541,8.005084860430998,8.005085860430997,8.005083860430998,C2O_1
Altamaha_PP48_000107-4_p08,235.133977705841,233.118328451037,2.0156492548040035,2.0156502548040036,2.0156482548040033,H2
Altamaha_PP48_000107-4_p08,237.040490087192,233.045575514683,3.9949145725090034,3.9949155725090035,3.9949135725090033,C_1O1
Altamaha_PP48_000107-4_p08,241.050667847199,217.01428268275,24.036385164449,24.036386164449002,24.036384164449,C3H4O_1
Altamaha_PP48_000107-4_p08,241.071813830133,239.056164409448,2.0156494206850084,2.0156504206850085,2.0156484206850083,H2
Altamaha_PP48_000107-4_p08,241.144559771454,233.154730419209,7.98982935224501,7.9898303522450105,7.98982835224501,C_2O2
Altamaha_PP48_000107-4_p08,241.144559771454,241.108179800794,0.03637997065999343,0.036380970659993433,0.03637897065999343,CH4_O
Altamaha_PP48_000107-4_p08,243.087422284743,227.12889284541,15.958529439333006,15.958530439333005,15.958528439333007,C_1H_4O2
Altamaha_PP48_000107-4_p08,243.123783256016,225.076833766451,18.04694948956501,18.04695048956501,18.046948489565008,CH6
Altamaha_PP48_000107-4_p08,243.123783256016,229.144517994887,13.979265261129001,13.979266261129,13.979264261129002,H_2O1
Altamaha_PP48_000107-4_p08,245.012453843033,203.056031824504,41.956422018529,41.956423018528994,41.956421018529,H_2S1C1
Altamaha_PP48_000107-4_p08,245.030338829185,239.019773439434,6.010565389751008,6.010566389751008,6.010564389751008,C_1H2O
Altamaha_PP48_000107-4_p08,245.066718801024,226.072137830002,18.994580971022003,18.994581971022004,18.994579971022002,H1O2N_1
Altamaha_PP48_000107-4_p08,245.066718801024,245.030338829185,0.03637997183898278,0.036380971838982784,0.03637897183898278,CH4_O
Altamaha_PP48_000107-4_p08,245.139431744771,229.144517994887,15.994913749884006,15.994914749884005,15.994912749884007,hydroxylation (-H)
Altamaha_PP48_000107-4_p08,247.024787365468,217.050607645747,29.974179719721008,29.97418071972101,29.974178719721007,H_2O2
Altamaha_PP48_000107-4_p08,247.024787365468,223.06117169015,23.96361567531801,23.96361667531801,23.96361467531801,CH_4O
Altamaha_PP48_000107-4_p08,247.024787365468,225.004052835276,22.020734530191987,22.02073553019199,22.020733530191986,C3H2O_1
Altamaha_PP48_000107-4_p08,248.056420386681,213.040435805002,35.01598458167899,35.01598558167899,35.015983581678995,C3H1N1O_1
Altamaha_PP48_000107-4_p08,248.056420386681,223.06117169015,24.995248696531007,24.99524969653101,24.995247696531006,C1H_1N1
Altamaha_PP48_000107-4_p08,248.056420386681,247.024787365468,1.031633021212997,1.0316340212129969,1.031632021212997,H3O_1N1
Altamaha_PP48_000107-4_p08,249.043896530525,233.048981511703,15.994915018821985,15.994916018821984,15.994914018821985,O1
Altamaha_PP48_000107-4_p08,250.035792916703,233.009243546485,17.026549370217992,17.026550370217993,17.02654837021799,H3N1
Altamaha_PP48_000107-4_p08,250.035792916703,249.040542533013,0.9952503836900064,0.9952513836900064,0.9952493836900064,NH_CH2
Altamaha_PP48_000107-4_p08,250.072129260245,235.061228768221,15.010900492023978,15.010901492023978,15.010899492023979,H1N1
