Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_PP48_000107-4_p08
104.162444966414,0,0,0,0,0,0,0,0,,None,105.169721433294,0,0,1075328.9
105.155728677172,0,0,0,0,0,0,0,0,,None,106.163005144052,0,0,1042001.6
108.084436005271,0,0,0,0,0,0,0,0,,None,109.091712472151,0,0,1034077
108.1401378795,0,0,0,0,0,0,0,0,,None,109.14741434638,0,0,1027215.9
108.737149534117,0,0,0,0,0,0,0,0,,None,109.744426000997,0,0,1079150.4
109.491045842043,0,0,0,0,0,0,0,0,,None,110.498322308923,0,0,1026011.2
110.147326375277,0,0,0,0,0,0,0,0,,None,111.154602842157,0,0,1044792.9
110.214297225925,0,0,0,0,0,0,0,0,,None,111.221573692805,0,0,1146201.5
111.124141202817,0,0,0,0,0,0,0,0,,None,112.131417669697,0,0,1025185.4
111.57117921285,0,0,0,0,0,0,0,0,,None,112.57845567973,0,0,1160865.4
111.613099120155,0,0,0,0,0,0,0,0,,None,112.620375587035,0,0,1034451.6
111.616858111844,0,0,0,0,0,0,0,0,,None,112.624134578724,0,0,1062787.4
111.635967069598,0,0,0,0,0,0,0,0,,None,112.643243536478,0,0,1040270.6
111.668044998692,0,0,0,0,0,0,0,0,,None,112.675321465572,0,0,1085865.3
111.671387991303,0,0,0,0,0,0,0,0,,None,112.678664458183,0,0,1134929.1
111.683919963606,0,0,0,0,0,0,0,0,,None,112.691196430486,0,0,1157040.5
111.689727950771,0,0,0,0,0,0,0,0,,None,112.697004417651,0,0,1220936.3
111.714438896165,0,0,0,0,0,0,0,0,,None,112.721715363045,0,0,1496151.3
111.723837875398,0,0,0,0,0,0,0,0,,None,112.731114342278,0,0,1103570.9
111.729898862007,0,0,0,0,0,0,0,0,,None,112.737175328887,0,0,1028786.6
111.734414852029,0,0,0,0,0,0,0,0,,None,112.741691318909,0,0,1380682.4
111.736189848108,0,0,0,0,0,0,0,0,,None,112.743466314988,0,0,1047858.3
111.738601842779,0,0,0,0,0,0,0,0,,None,112.745878309659,0,0,1095218.3
111.749562818564,0,0,0,0,0,0,0,0,,None,112.756839285444,0,0,1121405.8
111.75889879794,0,0,0,0,0,0,0,0,,None,112.76617526482,0,0,1107085.4
111.771090771008,0,0,0,0,0,0,0,0,,None,112.778367237888,0,0,1261572.9
111.783283744077,0,0,0,0,0,0,0,0,,None,112.790560210957,0,0,1069048.4
